procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1751052 335120 107476 3922524    6   19    99   286 2073   31  5  2 93  0  0  0
 0  1 1751052 273812 107476 3922476    0    0     0   528 4249 9356  3  2 89  6  0  0
 0  1 1751052 271320 107504 3923280    0    0     0   528 2244 6843  1  1 88 10  0  0
44  0 1751052 261956 107504 3923376    0    0     0  5712 15853 98063 10  5 83  2  0  0
 3  1 1751052 262080 107504 3922904    0    0     0  7008 17093 113689 10  7 82  1  0  0
 1  0 1751052 254116 107504 3922964    0    0     0  6912 16983 113411 12  5 83  1  0  0
26  0 1751052 272672 107504 3923048    0    0     0  7176 16313 111999 13  6 80  1  0  0
25  0 1751052 279196 107520 3923020    0    0     0  7548 16341 112475 11  6 82  1  0  0
13  0 1751052 287600 107536 3923100    0    0     8  7308 17565 115574 11  6 82  1  0  0
27  0 1751052 281072 107536 3923264    0    0     0  7024 17735 116156 11  7 81  1  0  0
44  0 1751052 291092 107544 3923440    0    0     0  7128 17223 114537 11  6 82  1  0  0
35  0 1751052 290780 107544 3923480    0    0     0  7296 17857 117538 11  6 82  1  0  0
42  0 1751052 290272 107552 3923520    0    0     0  6924 17547 115993 11  6 82  1  0  0
48  0 1751052 289400 107552 3923516    0    0     0  7304 17642 117424 12  5 82  1  0  0
39  0 1751052 291772 107552 3923564    0    0     0  7264 17210 116385 11  6 82  1  0  0
52  0 1751052 296244 107576 3923720    0    0     0  7008 17158 114676 14  5 80  1  0  0
48  0 1751052 302048 107576 3923780    0    0     0  6872 17640 115273 11  6 82  1  0  0
46  0 1751052 301528 107592 3923848    0    0     0  7356 17112 115343 10  7 82  1  0  0
19  0 1751052 300116 107592 3923912    0    0     0  7432 16259 113758 11  6 82  1  0  0
34  0 1751052 303088 107592 3923976    0    0     0  6864 17098 115546 11  6 82  1  0  0
27  0 1751052 306656 107608 3924024    0    0     0  7148 16858 112912 10  7 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
26  0 1751052 300568 107608 3924096    0    0     0  7284 18065 116578 13  6 80  1  0  0
22  0 1751052 300556 107616 3924160    0    0     0  7108 17854 118305 11  6 82  1  0  0
45  0 1751052 295212 107616 3924740    0    0     0  7232 17303 115460 10  7 82  1  0  0
35  0 1751052 294064 107616 3924860    0    0     0  7280 17422 115407 11  6 83  1  0  0
46  0 1751052 295140 107624 3924668    0    0     0  7008 17552 117063 14  6 80  1  0  0
 6  0 1751052 291428 107632 3924472    0    0     0  7156 17626 117358 12  6 82  1  0  0
 0  1 1751052 292124 107640 3924592    0    0     0  7392 17853 116925 11  6 82  1  0  0
20  0 1751052 303860 107640 3924832    0    0     0  7032 17153 115624 13  6 81  1  0  0
 7  1 1751052 301704 107656 3924588    0    0     0  6952 18505 118110 11  7 82  1  0  0
51  0 1751052 302792 107656 3924768    0    0     0  7184 17527 117164 13  6 80  1  0  0
 0  1 1751052 301316 107656 3925108    0    0     0  7072 17664 118277 12  6 82  1  0  0
24  0 1751052 301092 107664 3925164    0    0     0  6912 17960 116856 11  6 82  1  0  0
 4  1 1751052 301856 107664 3925216    0    0     0  7148 17904 116751 11  6 83  1  0  0
50  0 1751052 305496 107672 3925004    0    0     0  6988 17663 117267 13  6 81  1  0  0
 9  0 1751052 302844 107672 3924848    0    0     0  7000 17117 115746 12  6 82  1  0  0
50  0 1751052 301148 107672 3924976    0    0     0  7148 17929 117529 11  6 82  1  0  0
 0  1 1751052 300188 107696 3925180    0    0     0  7080 17371 114702 11  6 82  1  0  0
50  0 1751052 298484 107696 3925276    0    0     8  7052 17996 117698 11  6 83  1  0  0
44  0 1751052 303440 107696 3925356    0    0     0  7296 17556 117893 11  6 82  1  0  0
29  0 1751052 302440 107696 3925404    0    0     0  7256 17905 118174 11  6 83  1  0  0
45  0 1751052 311840 107696 3925468    0    0     0  6840 16923 113764 11  6 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 1751052 307008 107720 3925796    0    0     0  7144 17142 116854 13  6 80  1  0  0
