Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

04:33:30 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:33:31 PM IST     all      3.41      0.00      2.16      5.83      0.00     88.59
04:33:32 PM IST     all      0.92      0.00      0.67     10.24      0.00     88.16
04:33:33 PM IST     all      9.88      0.00      4.73      1.69      0.00     83.70
04:33:34 PM IST     all     10.46      0.00      6.58      0.67      0.00     82.29
04:33:35 PM IST     all     11.70      0.00      5.09      0.59      0.00     82.61
04:33:36 PM IST     all     13.42      0.00      5.91      0.68      0.00     80.00
04:33:37 PM IST     all     10.82      0.00      6.42      0.85      0.00     81.91
04:33:38 PM IST     all     11.32      0.00      5.91      0.84      0.00     81.93
04:33:39 PM IST     all     11.44      0.08      6.73      0.67      0.00     81.08
04:33:40 PM IST     all     11.41      0.00      6.21      0.67      0.00     81.71
04:33:41 PM IST     all     11.21      0.00      6.32      0.59      0.00     81.87
04:33:42 PM IST     all     11.51      0.00      5.75      0.76      0.00     81.98
04:33:43 PM IST     all     11.51      0.00      5.67      0.68      0.00     82.15
04:33:44 PM IST     all     11.21      0.00      5.60      0.59      0.00     82.60
04:33:45 PM IST     all     13.79      0.00      5.33      0.76      0.00     80.12
04:33:46 PM IST     all     11.35      0.00      5.67      0.76      0.00     82.22
04:33:47 PM IST     all     10.24      0.00      6.60      0.68      0.00     82.49
04:33:48 PM IST     all     11.50      0.00      6.21      0.76      0.00     81.53
04:33:49 PM IST     all     11.28      0.00      5.51      0.68      0.00     82.53
04:33:50 PM IST     all      9.99      0.00      6.77      0.85      0.00     82.39
04:33:51 PM IST     all     13.21      0.00      5.54      0.77      0.00     80.48
04:33:52 PM IST     all     11.47      0.00      6.07      0.59      0.00     81.87
04:33:53 PM IST     all     10.42      0.00      6.86      0.68      0.00     82.03
04:33:54 PM IST     all     10.80      0.00      5.99      0.76      0.00     82.45
04:33:55 PM IST     all     13.50      0.00      5.86      0.59      0.00     80.05
04:33:56 PM IST     all     11.84      0.00      5.71      0.67      0.00     81.78
04:33:57 PM IST     all     11.36      0.00      5.98      0.67      0.00     81.99
04:33:58 PM IST     all     12.94      0.00      5.67      0.68      0.00     80.71
04:33:59 PM IST     all     11.08      0.00      6.43      0.59      0.00     81.90
04:34:00 PM IST     all     13.22      0.00      5.86      0.67      0.00     80.25
04:34:01 PM IST     all     11.72      0.00      5.52      0.59      0.00     82.16
04:34:02 PM IST     all     10.90      0.00      6.33      0.68      0.00     82.09
04:34:03 PM IST     all     10.95      0.00      5.60      0.76      0.00     82.68
04:34:04 PM IST     all     12.96      0.00      5.71      0.68      0.00     80.65
04:34:05 PM IST     all     11.73      0.00      5.95      0.75      0.00     81.57
04:34:06 PM IST     all     11.22      0.00      5.95      0.60      0.00     82.23
04:34:07 PM IST     all     10.95      0.00      6.03      0.85      0.00     82.17
04:34:08 PM IST     all     11.01      0.00      5.67      0.68      0.00     82.64
04:34:09 PM IST     all     10.81      0.00      6.04      0.60      0.00     82.55
04:34:10 PM IST     all     10.72      0.00      5.70      0.68      0.00     82.89
04:34:11 PM IST     all     10.82      0.00      6.05      0.68      0.00     82.45
04:34:12 PM IST     all     13.37      0.00      5.62      0.68      0.00     80.32
04:34:13 PM IST     all     10.25      0.00      6.61      1.27      0.00     81.86
04:34:14 PM IST     all     11.01      0.00      6.35      0.59      0.00     82.05
04:34:15 PM IST     all     10.94      0.00      5.94      0.68      0.00     82.44
04:34:16 PM IST     all     10.18      0.00      6.53      0.68      0.00     82.61
04:34:17 PM IST     all     10.61      0.00      6.65      0.67      0.00     82.07
04:34:18 PM IST     all     13.66      0.00      5.87      0.67      0.00     79.80
04:34:19 PM IST     all     12.31      0.00      6.24      0.67      0.00     80.78
04:34:20 PM IST     all     10.46      0.00      6.33      0.84      0.00     82.36
04:34:21 PM IST     all     11.09      0.00      6.55      0.76      0.00     81.60
04:34:22 PM IST     all     12.67      0.00      5.78      0.77      0.00     80.78
04:34:23 PM IST     all     10.48      0.00      5.96      0.77      0.00     82.79
04:34:24 PM IST     all     10.97      0.00      5.61      0.85      0.00     82.57
04:34:25 PM IST     all     11.49      0.00      5.79      0.68      0.00     82.04
04:34:26 PM IST     all     11.70      0.00      5.68      0.17      0.00     82.44
04:34:27 PM IST     all     10.22      0.00      6.50      0.68      0.00     82.60
04:34:28 PM IST     all     13.13      0.00      5.80      0.68      0.00     80.39
04:34:29 PM IST     all     11.59      0.00      5.50      0.76      0.00     82.15
04:34:30 PM IST     all     10.41      0.00      6.23      0.77      0.00     82.59
04:34:31 PM IST     all      9.07      0.00      6.61      0.59      0.00     83.73
04:34:32 PM IST     all     10.26      0.00      5.56      0.77      0.00     83.42
04:34:33 PM IST     all     10.90      0.00      5.83      0.76      0.00     82.52
04:34:34 PM IST     all     14.29      0.00      5.88      0.67      0.00     79.16
04:34:35 PM IST     all     10.74      0.00      6.09      0.68      0.00     82.49
04:34:36 PM IST     all     10.82      0.00      5.54      0.77      0.00     82.88
04:34:37 PM IST     all     10.43      0.09      5.56      0.77      0.00     83.16
04:34:38 PM IST     all     13.45      0.00      6.64      0.67      0.00     79.24
04:34:39 PM IST     all     11.19      0.00      6.19      0.76      0.00     81.86
04:34:40 PM IST     all     11.01      0.00      6.30      0.67      0.00     82.02
04:34:41 PM IST     all     10.46      0.00      5.78      0.68      0.00     83.08
04:34:42 PM IST     all     13.20      0.00      5.88      0.68      0.00     80.24
04:34:43 PM IST     all     11.23      0.00      6.30      0.60      0.00     81.87
04:34:44 PM IST     all     11.55      0.00      6.44      0.67      0.00     81.34
04:34:45 PM IST     all     10.59      0.00      6.19      0.68      0.00     82.54
04:34:46 PM IST     all     11.08      0.00      6.09      0.59      0.00     82.23
04:34:47 PM IST     all     11.72      0.00      6.41      0.67      0.00     81.20
04:34:48 PM IST     all     12.01      0.00      6.55      0.59      0.00     80.86
04:34:49 PM IST     all     10.36      0.00      6.37      0.68      0.00     82.60
04:34:50 PM IST     all     10.37      0.00      6.12      0.68      0.00     82.82
04:34:51 PM IST     all     11.99      0.00      6.71      0.67      0.00     80.64
04:34:52 PM IST     all     11.29      0.00      6.40      0.67      0.00     81.63
04:34:53 PM IST     all     12.05      0.00      5.77      0.84      0.00     81.34
