procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 935532 386328 114244 4251676    5   15   120   236 1720   28  4  2 93  0  0  0
 0  1 935532 363780 114252 4258700    0    0     0   928 5890 24785  4  4 87  5  0  0
 0  1 935532 352844 114252 4258760    0    0     0   544 8468 45802  3  2 89  7  0  0
 1  1 935532 362208 114252 4247836    0    0     0   520 8585 47231  2  1 89  7  0  0
11  0 935532 368680 114252 4241692    0    0     0  1652 12440 72119  5  3 87  5  0  0
12  0 935532 367552 114260 4242268    0    0     0  6200 32396 188714 12  7 80  0  0  0
10  0 935532 371500 114268 4242216    0    0     0  6372 30501 184145 12  7 81  0  0  0
10  0 935532 377992 114268 4241560    0    0     0  6248 31489 187566 13  7 80  0  0  0
 4  1 935532 382092 114312 4239664    0    0     0  6656 32615 189783 13  6 81  0  0  0
 8  1 935532 377256 114328 4239540    0    0     0  6468 30186 185865 12  7 81  0  0  0
 9  0 935532 378772 114328 4239732    0    0     0  6256 29863 184219 12  6 81  0  0  0
 9  1 935532 377984 114328 4239768    0    0     0  6336 31005 186610 13  7 80  0  0  0
 9  0 935532 378092 114328 4239768    0    0     0  6288 31134 188149 13  7 80  0  0  0
10  1 935532 380104 114336 4239668    0    0     0  6292 31443 187723 13  7 80  0  0  0
10  0 935532 376040 114344 4239700    0    0     0  6144 31477 188036 12  7 81  0  0  0
 9  0 935532 375464 114344 4239708    0    0     0  6304 31995 187965 12  7 81  0  0  0
11  1 935532 375796 114344 4239944    0    0     0  6544 31052 186490 14  7 80  0  0  0
 9  1 935532 375172 114344 4239956    0    0     0  6176 31542 186525 12  7 81  0  0  0
11  0 935532 376540 114352 4239964    0    0     0  6116 31862 188228 12  6 81  0  0  0
 8  0 935532 374324 114360 4239956    0    0     0  6132 31741 188040 13  7 81  0  0  0
 8  0 935532 372400 114360 4239924    0    0     0  6232 30806 187403 13  7 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  1 935532 373476 114360 4240100    0    0     0  6568 30424 185318 13  7 80  0  0  0
10  1 935532 374196 114376 4240100    0    0     0  6552 30117 185539 13  6 81  0  0  0
10  0 935532 369608 114400 4240128    0    0     0  6444 31293 186856 12  7 81  0  0  0
 6  1 935532 369832 114400 4240448    0    0     0  6232 31522 187263 12  7 80  0  0  0
11  0 935532 367988 114400 4240692    0    0     0  6460 32964 188463 13  7 80  0  0  0
 7  0 935532 366524 114400 4240036    0    0     0  6392 29862 185440 12  7 81  0  0  0
12  0 935532 364012 114400 4240228    0    0     0  6280 31655 188549 12  7 81  0  0  0
11  0 935532 359592 114416 4240064    0    0     0  6220 32055 189208 12  7 81  0  0  0
