Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

04:54:17 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:54:18 PM IST     all      3.36      0.00      1.26      7.65      0.00     87.73
04:54:19 PM IST     all      5.43      0.00      2.12      8.06      0.00     84.39
04:54:20 PM IST     all     13.90      0.00      4.38      6.15      0.00     75.57
04:54:21 PM IST     all     21.55      0.00      8.01      0.43      0.00     70.02
04:54:22 PM IST     all     26.74      0.00      7.22      0.34      0.00     65.70
04:54:23 PM IST     all     25.15      0.00      7.56      1.61      0.00     65.68
04:54:24 PM IST     all     37.51      0.00      8.41      0.77      0.00     53.30
04:54:25 PM IST     all     26.18      0.00      8.38      0.26      0.00     65.18
04:54:26 PM IST     all     19.80      0.00      7.56      0.00      0.00     72.64
04:54:27 PM IST     all     21.60      0.00      7.06      0.09      0.00     71.26
04:54:28 PM IST     all     22.75      0.00      7.30      0.25      0.00     69.69
04:54:29 PM IST     all     23.92      0.00      7.44      0.76      0.00     67.88
04:54:30 PM IST     all     21.86      0.00      7.80      0.17      0.00     70.17
04:54:31 PM IST     all     25.49      0.00      8.16      0.08      0.00     66.27
04:54:32 PM IST     all     19.07      0.00      6.62      0.17      0.00     74.14
04:54:33 PM IST     all     18.98      0.00      7.91      0.43      0.00     72.68
04:54:34 PM IST     all     18.88      0.00      6.38      0.60      0.00     74.15
04:54:35 PM IST     all     15.02      0.00      7.00      0.26      0.00     77.73
04:54:36 PM IST     all     13.43      0.00      7.14      0.08      0.00     79.35
04:54:37 PM IST     all     12.28      0.00      7.08      0.09      0.00     80.56
04:54:38 PM IST     all     13.37      0.00      5.96      0.09      0.00     80.58
04:54:39 PM IST     all     14.12      0.00      6.42      0.17      0.00     79.29
04:54:40 PM IST     all     19.49      0.00      7.37      0.08      0.00     73.05
04:54:41 PM IST     all     12.79      0.00      6.65      0.09      0.00     80.48
04:54:42 PM IST     all     13.69      0.00      6.63      0.09      0.00     79.59
04:54:43 PM IST     all     12.48      0.00      7.05      0.08      0.00     80.39
04:54:44 PM IST     all     12.20      0.00      7.17      0.09      0.00     80.55
04:54:45 PM IST     all     13.57      0.00      6.87      0.17      0.00     79.39
04:54:46 PM IST     all     12.71      0.00      7.12      0.08      0.00     80.08
04:54:47 PM IST     all     12.47      0.00      7.00      0.09      0.00     80.44
04:54:48 PM IST     all     12.39      0.00      6.84      0.09      0.00     80.68
04:54:49 PM IST     all     14.14      0.00      6.35      0.25      0.00     79.25
04:54:50 PM IST     all     19.85      0.00      8.14      0.34      0.00     71.67
04:54:51 PM IST     all     14.51      0.00      6.83      0.85      0.00     77.82
04:54:52 PM IST     all     16.16      0.00      6.55      0.68      0.00     76.62
04:54:53 PM IST     all     15.77      0.09      8.40      0.09      0.00     75.66
04:54:54 PM IST     all     15.14      0.00      6.59      0.17      0.00     78.10
04:54:55 PM IST     all     12.69      0.00      6.17      0.00      0.00     81.13
04:54:56 PM IST     all     13.99      0.00      7.00      0.17      0.00     78.84
04:54:57 PM IST     all     14.01      0.00      7.86      0.26      0.00     77.88
04:54:58 PM IST     all     14.86      0.00      6.71      0.17      0.00     78.27
04:54:59 PM IST     all     14.10      0.00      6.84      0.09      0.00     78.97
04:55:00 PM IST     all     14.68      0.00      7.47      0.09      0.00     77.77
04:55:01 PM IST     all     14.13      0.00      5.92      0.34      0.00     79.61
04:55:02 PM IST     all     13.54      0.00      6.22      0.00      0.00     80.24
04:55:03 PM IST     all     14.09      0.00      7.51      0.34      0.00     78.06
04:55:04 PM IST     all     14.05      0.00      7.03      0.00      0.00     78.92
04:55:05 PM IST     all     13.43      0.00      7.35      0.08      0.00     79.14
04:55:06 PM IST     all     13.32      0.00      6.53      0.08      0.00     80.07
04:55:07 PM IST     all     15.80      0.00      6.63      0.08      0.00     77.49
04:55:08 PM IST     all     12.80      0.00      7.17      0.17      0.00     79.86
04:55:09 PM IST     all     16.19      0.00      7.25      0.17      0.00     76.39
04:55:10 PM IST     all     16.68      0.00      7.15      0.34      0.00     75.83
04:55:11 PM IST     all     14.36      0.00      7.39      0.25      0.00     77.99
04:55:12 PM IST     all     14.91      0.00      6.73      0.34      0.00     78.02
04:55:13 PM IST     all     20.87      0.00      7.72      0.42      0.00     70.99
04:55:14 PM IST     all     17.89      0.00      7.41      0.51      0.00     74.19
04:55:15 PM IST     all     15.98      0.00      6.96      0.17      0.00     76.89
04:55:16 PM IST     all     17.86      0.00      7.18      0.60      0.00     74.36
04:55:17 PM IST     all     18.80      0.00      8.12      0.26      0.00     72.82
04:55:18 PM IST     all     20.19      0.00      8.38      0.17      0.00     71.26
04:55:19 PM IST     all     27.08      0.00      7.72      0.25      0.00     64.94
04:55:20 PM IST     all     31.40      0.09      8.43      0.34      0.00     59.74
04:55:21 PM IST     all     22.49      0.00      8.01      0.34      0.00     69.17
04:55:22 PM IST     all     18.05      0.00      7.43      0.00      0.00     74.53
04:55:23 PM IST     all     19.93      0.00      7.70      0.09      0.00     72.28
04:55:24 PM IST     all     16.28      0.00      6.80      0.52      0.00     76.40
04:55:25 PM IST     all     15.21      0.00      6.63      0.42      0.00     77.74
04:55:26 PM IST     all     13.86      0.00      6.80      0.09      0.00     79.25
04:55:27 PM IST     all     14.05      0.00      6.39      0.00      0.00     79.56
04:55:28 PM IST     all     13.36      0.00      6.68      0.17      0.00     79.80
04:55:29 PM IST     all     12.33      0.00      7.36      0.09      0.00     80.22
04:55:30 PM IST     all     13.68      0.00      7.26      0.17      0.00     78.89
04:55:31 PM IST     all     13.15      0.00      6.58      0.00      0.00     80.27
04:55:32 PM IST     all     15.82      0.00      6.62      0.09      0.00     77.47
04:55:33 PM IST     all     13.01      0.00      6.51      0.09      0.00     80.39
04:55:34 PM IST     all     13.72      0.00      7.32      0.25      0.00     78.70
04:55:35 PM IST     all     12.67      0.00      6.97      0.17      0.00     80.19
04:55:36 PM IST     all     13.50      0.00      6.41      0.09      0.00     80.00
04:55:37 PM IST     all     15.48      0.00      6.85      0.17      0.00     77.50
04:55:38 PM IST     all     14.24      0.00      6.19      0.00      0.00     79.58
04:55:39 PM IST     all     13.15      0.00      6.49      0.17      0.00     80.19
04:55:40 PM IST     all     12.50      0.00      7.57      0.09      0.00     79.85
04:55:41 PM IST     all     13.00      0.00      6.63      0.08      0.00     80.29
04:55:42 PM IST     all     13.12      0.00      7.71      0.08      0.00     79.09
04:55:43 PM IST     all     14.25      0.00      6.45      0.08      0.00     79.22
04:55:44 PM IST     all     12.60      0.00      6.89      0.09      0.00     80.43
04:55:45 PM IST     all     13.39      0.00      6.44      0.17      0.00     80.00
04:55:46 PM IST     all     12.38      0.00      7.46      0.08      0.00     80.07
04:55:47 PM IST     all     13.90      0.00      6.61      0.00      0.00     79.49
04:55:48 PM IST     all     12.28      0.00      7.42      0.17      0.00     80.14
04:55:49 PM IST     all     12.57      0.00      7.59      0.00      0.00     79.83
04:55:50 PM IST     all     14.31      0.00      5.67      0.08      0.00     79.93
04:55:51 PM IST     all     13.36      0.00      6.21      0.09      0.00     80.34
04:55:52 PM IST     all     12.96      0.00      6.56      0.17      0.00     80.31
04:55:53 PM IST     all     15.29      0.00      7.14      0.17      0.00     77.39
04:55:54 PM IST     all     14.03      0.00      6.72      0.00      0.00     79.25
04:55:55 PM IST     all     11.67      0.00      7.44      0.17      0.00     80.73
04:55:56 PM IST     all     11.88      0.00      6.32      0.09      0.00     81.71
04:55:57 PM IST     all     14.13      0.00      6.26      0.08      0.00     79.53
04:55:58 PM IST     all     13.55      0.00      6.99      0.09      0.00     79.37
04:55:59 PM IST     all     13.23      0.00      6.14      0.00      0.00     80.63
04:56:00 PM IST     all     13.26      0.00      6.84      0.09      0.00     79.81
04:56:01 PM IST     all     12.98      0.00      7.08      0.17      0.00     79.76
04:56:02 PM IST     all     12.55      0.00      7.29      0.17      0.00     79.98
04:56:03 PM IST     all     14.59      0.00      6.74      0.09      0.00     78.58
04:56:04 PM IST     all     13.70      0.00      7.06      0.09      0.00     79.15
04:56:05 PM IST     all     13.66      0.00      7.21      0.08      0.00     79.05
04:56:06 PM IST     all     12.52      0.00      6.90      0.17      0.00     80.41
04:56:07 PM IST     all     13.33      0.00      6.67      0.08      0.00     79.92
04:56:08 PM IST     all     13.99      0.00      6.28      0.08      0.00     79.64
04:56:09 PM IST     all     19.24      0.00      6.61      0.08      0.00     74.07
04:56:10 PM IST     all     14.60      0.00      7.22      0.08      0.00     78.10
04:56:11 PM IST     all     13.08      0.00      6.32      0.09      0.00     80.51
04:56:12 PM IST     all     12.52      0.00      7.16      0.09      0.00     80.24
04:56:13 PM IST     all     13.03      0.00      6.56      0.17      0.00     80.24
04:56:14 PM IST     all     13.69      0.00      6.29      0.09      0.00     79.93
04:56:15 PM IST     all     13.18      0.00      7.02      0.09      0.00     79.71
04:56:16 PM IST     all     13.54      0.00      6.43      0.17      0.00     79.86
04:56:17 PM IST     all     13.76      0.00      6.41      0.00      0.00     79.83
04:56:18 PM IST     all     13.34      0.00      6.54      0.08      0.00     80.03
04:56:19 PM IST     all     12.76      0.00      6.68      0.09      0.00     80.48
04:56:20 PM IST     all     16.75      0.00      7.02      0.08      0.00     76.14
04:56:21 PM IST     all     13.14      0.00      7.03      0.08      0.00     79.75
04:56:22 PM IST     all     13.41      0.00      7.17      0.08      0.00     79.34
04:56:23 PM IST     all     13.00      0.00      6.71      0.08      0.00     80.20
04:56:24 PM IST     all     12.65      0.00      6.88      0.08      0.00     80.39
04:56:25 PM IST     all     15.12      0.00      6.40      0.09      0.00     78.39
04:56:26 PM IST     all     14.29      0.00      6.51      0.00      0.00     79.21
04:56:27 PM IST     all     13.05      0.00      6.61      0.00      0.00     80.34
04:56:28 PM IST     all     12.44      0.00      7.16      0.09      0.00     80.32
04:56:29 PM IST     all     13.10      0.00      7.02      0.08      0.00     79.80
04:56:30 PM IST     all     13.59      0.00      6.71      0.08      0.00     79.61
04:56:31 PM IST     all     13.66      0.00      7.04      0.17      0.00     79.13
04:56:32 PM IST     all     18.40      0.00      7.24      0.26      0.00     74.11
04:56:33 PM IST     all     15.60      0.00      7.28      0.26      0.00     76.86
04:56:34 PM IST     all     15.98      0.00      7.19      0.34      0.00     76.50
04:56:35 PM IST     all     20.31      0.00      8.16      0.25      0.00     71.28
04:56:36 PM IST     all     21.18      0.08      7.43      0.08      0.00     71.22
04:56:37 PM IST     all     17.72      0.00      7.19      0.43      0.00     74.66
04:56:38 PM IST     all     17.12      0.09      7.16      0.09      0.00     75.55
04:56:39 PM IST     all     17.84      0.00      6.43      0.00      0.00     75.73
04:56:40 PM IST     all     17.85      0.00      7.60      0.34      0.00     74.21
04:56:41 PM IST     all     24.28      0.00      7.16      0.26      0.00     68.31
04:56:42 PM IST     all     24.19      0.09      7.75      0.51      0.00     67.46
04:56:43 PM IST     all     19.34      0.00      7.16      0.26      0.00     73.25
04:56:44 PM IST     all     18.45      0.00      6.63      0.17      0.00     74.74
04:56:45 PM IST     all     16.04      0.00      7.25      0.43      0.00     76.28
04:56:46 PM IST     all     12.98      0.00      6.58      0.17      0.00     80.27
04:56:47 PM IST     all     13.88      0.00      6.39      0.17      0.00     79.56
04:56:48 PM IST     all     14.25      0.00      6.45      0.17      0.00     79.13
04:56:49 PM IST     all     12.78      0.00      6.64      0.09      0.00     80.49
04:56:50 PM IST     all     14.23      0.00      7.03      0.00      0.00     78.75
04:56:51 PM IST     all     13.68      0.00      6.80      0.17      0.00     79.35
04:56:52 PM IST     all     13.73      0.00      6.61      0.08      0.00     79.58
04:56:53 PM IST     all     12.79      0.00      6.82      0.17      0.00     80.22
04:56:54 PM IST     all     12.82      0.00      7.39      0.25      0.00     79.54
04:56:55 PM IST     all     12.71      0.00      6.69      0.08      0.00     80.51
04:56:56 PM IST     all     12.89      0.00      7.62      0.00      0.00     79.50
04:56:57 PM IST     all     12.93      0.00      7.44      0.17      0.00     79.46
