Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

02:53:15 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:54:41 PM IST     all     15.54      0.00      7.18      0.00      0.00     77.28
02:54:42 PM IST     all     16.19      0.00      7.63      0.00      0.00     76.17
02:54:43 PM IST     all     15.52      0.00      7.04      0.00      0.00     77.44
02:54:44 PM IST     all     15.08      0.00      7.29      0.00      0.00     77.63
02:54:45 PM IST     all     16.05      0.00      7.43      0.00      0.00     76.52
02:54:46 PM IST     all     15.33      0.00      7.37      0.00      0.00     77.31
02:54:47 PM IST     all     14.38      0.00      8.00      0.00      0.00     77.62
02:54:48 PM IST     all     14.15      0.00      7.76      0.00      0.00     78.09
02:54:49 PM IST     all     15.05      0.00      7.65      0.00      0.00     77.29
02:54:50 PM IST     all     15.66      0.00      7.23      0.00      0.00     77.11
02:54:51 PM IST     all     15.19      0.00      7.93      0.00      0.00     76.88
02:54:52 PM IST     all     15.27      0.00      6.79      0.00      0.00     77.95
02:54:53 PM IST     all     15.38      0.00      7.44      0.00      0.00     77.18
02:54:54 PM IST     all     15.21      0.00      7.65      0.00      0.00     77.15
02:54:55 PM IST     all     14.86      0.00      7.77      0.08      0.00     77.28
02:54:56 PM IST     all     15.35      0.00      7.21      0.00      0.00     77.44
02:54:57 PM IST     all     15.59      0.00      7.20      0.00      0.00     77.20
02:54:58 PM IST     all     15.14      0.00      7.45      0.08      0.00     77.33
02:54:59 PM IST     all     15.72      0.00      7.19      0.00      0.00     77.09
02:55:00 PM IST     all     16.05      0.00      7.43      0.00      0.00     76.52
02:55:01 PM IST     all     15.27      0.00      7.51      0.00      0.00     77.22
02:55:02 PM IST     all     15.63      0.00      6.92      0.00      0.00     77.46
02:55:03 PM IST     all     14.49      0.00      8.42      0.00      0.00     77.09
02:55:04 PM IST     all     15.27      0.00      7.21      0.08      0.00     77.44
02:55:05 PM IST     all     15.80      0.00      7.39      0.00      0.00     76.81
02:55:06 PM IST     all     16.37      0.00      6.53      0.00      0.00     77.10
02:55:07 PM IST     all     15.50      0.00      7.03      0.00      0.00     77.48
02:55:08 PM IST     all     15.47      0.00      7.44      0.00      0.00     77.09
02:55:09 PM IST     all     15.12      0.00      7.48      0.00      0.00     77.40
02:55:10 PM IST     all     15.43      0.00      7.08      0.00      0.00     77.49
02:55:11 PM IST     all     16.40      0.00      7.32      0.00      0.00     76.28
02:55:12 PM IST     all     15.80      0.00      7.05      0.00      0.00     77.15
02:55:13 PM IST     all     15.40      0.00      7.70      0.00      0.00     76.90
02:55:14 PM IST     all     14.11      0.00      7.87      0.09      0.00     77.93
02:55:15 PM IST     all     15.58      0.00      6.94      0.00      0.00     77.48
02:55:16 PM IST     all     16.27      0.00      7.42      0.00      0.00     76.31
02:55:17 PM IST     all     14.90      0.00      7.28      0.00      0.00     77.82
02:55:18 PM IST     all     15.65      0.00      7.11      0.00      0.00     77.24
02:55:19 PM IST     all     15.40      0.00      7.49      0.00      0.00     77.11
02:55:20 PM IST     all     15.75      0.00      6.77      0.00      0.00     77.48
02:55:21 PM IST     all     15.41      0.00      7.28      0.00      0.00     77.31
02:55:22 PM IST     all     16.15      0.00      7.32      0.00      0.00     76.53
02:55:23 PM IST     all     15.28      0.00      6.96      0.00      0.00     77.76
02:55:24 PM IST     all     15.22      0.00      7.27      0.00      0.00     77.51
02:55:25 PM IST     all     15.11      0.00      7.39      0.00      0.00     77.50
02:55:26 PM IST     all     15.42      0.00      7.46      0.00      0.00     77.12
02:55:27 PM IST     all     14.79      0.00      7.01      0.09      0.00     78.12
02:55:28 PM IST     all     15.43      0.00      7.17      0.08      0.00     77.32
02:55:29 PM IST     all     15.17      0.00      6.68      0.00      0.00     78.15
02:55:30 PM IST     all     15.33      0.00      7.67      0.00      0.00     77.00
02:55:31 PM IST     all     14.68      0.00      8.02      0.00      0.00     77.30
02:55:32 PM IST     all     14.98      0.00      7.45      0.00      0.00     77.57
02:55:33 PM IST     all     14.90      0.00      7.54      0.00      0.00     77.56
02:55:34 PM IST     all     14.84      0.00      7.55      0.00      0.00     77.61
02:55:35 PM IST     all     14.18      0.00      8.23      0.00      0.00     77.59
02:55:36 PM IST     all     22.89      0.00      6.64      0.00      0.00     70.47
02:55:37 PM IST     all     14.80      0.00      7.31      0.00      0.00     77.89
02:55:38 PM IST     all     15.52      0.00      6.87      0.00      0.00     77.61
02:55:39 PM IST     all     16.43      0.00      6.66      0.00      0.00     76.92
02:55:40 PM IST     all     14.44      0.00      8.07      0.00      0.00     77.49
02:55:41 PM IST     all     15.74      0.00      7.15      0.00      0.00     77.10
02:55:42 PM IST     all     14.33      0.00      7.72      0.00      0.00     77.95
02:55:43 PM IST     all     15.77      0.08      8.68      0.00      0.00     75.46
02:55:44 PM IST     all     15.85      0.00      7.08      0.00      0.00     77.07
02:55:45 PM IST     all     15.74      0.00      7.28      0.00      0.00     76.99
02:55:46 PM IST     all     15.64      0.00      7.44      0.00      0.00     76.92
02:55:47 PM IST     all     15.20      0.00      7.69      0.00      0.00     77.11
02:55:48 PM IST     all     15.35      0.00      6.73      0.00      0.00     77.92
02:55:49 PM IST     all     15.64      0.00      7.19      0.00      0.00     77.18
02:55:50 PM IST     all     15.59      0.00      7.08      0.00      0.00     77.34
02:55:51 PM IST     all     15.55      0.00      7.14      0.00      0.00     77.32
02:55:52 PM IST     all     15.26      0.00      7.34      0.00      0.00     77.40
02:55:53 PM IST     all     15.52      0.00      7.72      0.00      0.00     76.76
02:55:54 PM IST     all     15.51      0.00      7.50      0.00      0.00     76.98
02:55:55 PM IST     all     15.54      0.00      7.09      0.00      0.00     77.36
02:55:56 PM IST     all     15.81      0.00      7.69      0.00      0.00     76.50
02:55:57 PM IST     all     15.37      0.00      6.79      0.00      0.00     77.84
02:55:58 PM IST     all     16.10      0.00      6.75      0.00      0.00     77.15
02:55:59 PM IST     all     15.26      0.00      6.82      0.00      0.00     77.92
02:56:00 PM IST     all     15.53      0.00      7.34      0.00      0.00     77.13
02:56:01 PM IST     all     15.45      0.00      7.22      0.00      0.00     77.33
02:56:02 PM IST     all     15.27      0.00      7.21      0.00      0.00     77.52
02:56:03 PM IST     all     15.83      0.00      7.45      0.00      0.00     76.72
02:56:04 PM IST     all     14.89      0.00      7.70      0.00      0.00     77.41
02:56:05 PM IST     all     16.22      0.00      6.76      0.17      0.00     76.86
02:56:06 PM IST     all     15.48      0.00      7.78      0.08      0.00     76.65
02:56:07 PM IST     all     15.29      0.00      6.97      0.00      0.00     77.74
02:56:08 PM IST     all     13.93      0.00      7.78      0.09      0.00     78.21
02:56:09 PM IST     all     15.81      0.00      7.10      0.00      0.00     77.09
02:56:10 PM IST     all     14.91      0.00      6.90      0.00      0.00     78.19
02:56:11 PM IST     all     14.20      0.00      7.99      0.00      0.00     77.81
02:56:12 PM IST     all     15.22      0.00      7.52      0.00      0.00     77.26
02:56:13 PM IST     all     15.95      0.00      7.43      0.00      0.00     76.62
02:56:14 PM IST     all     15.02      0.00      7.76      0.00      0.00     77.22
02:56:15 PM IST     all     14.49      0.00      7.67      0.00      0.00     77.83
02:56:16 PM IST     all     15.02      0.00      7.68      0.00      0.00     77.30
02:56:17 PM IST     all     14.84      0.00      7.12      0.00      0.00     78.03
02:56:18 PM IST     all     14.72      0.00      7.40      0.00      0.00     77.87
02:56:19 PM IST     all     15.25      0.00      7.58      0.00      0.00     77.17
02:56:20 PM IST     all     14.89      0.00      7.78      0.00      0.00     77.33
02:56:21 PM IST     all     15.20      0.00      7.69      0.00      0.00     77.11
02:56:22 PM IST     all     15.08      0.00      7.46      0.00      0.00     77.46
02:56:23 PM IST     all     15.79      0.00      7.56      0.00      0.00     76.66
02:56:24 PM IST     all     14.62      0.00      8.20      0.00      0.00     77.18
02:56:25 PM IST     all     15.11      0.00      7.81      0.00      0.00     77.08
02:56:26 PM IST     all     15.93      0.00      7.46      0.08      0.00     76.53
02:56:27 PM IST     all     15.59      0.00      7.33      0.00      0.00     77.09
02:56:28 PM IST     all     15.37      0.00      7.35      0.00      0.00     77.28
02:56:29 PM IST     all     15.39      0.00      6.80      0.00      0.00     77.81
02:56:30 PM IST     all     14.89      0.00      7.87      0.00      0.00     77.24
02:56:31 PM IST     all     14.95      0.00      7.94      0.00      0.00     77.11
02:56:32 PM IST     all     14.86      0.00      8.28      0.00      0.00     76.86
02:56:33 PM IST     all     15.41      0.00      7.20      0.00      0.00     77.39
02:56:34 PM IST     all     14.64      0.00      7.83      0.00      0.00     77.53
02:56:35 PM IST     all     15.03      0.00      8.11      0.08      0.00     76.77
02:56:36 PM IST     all     14.90      0.00      7.74      0.00      0.00     77.36
02:56:37 PM IST     all     15.40      0.00      6.72      0.00      0.00     77.87
02:56:38 PM IST     all     16.30      0.00      7.22      0.00      0.00     76.49
02:56:39 PM IST     all     14.72      0.00      7.70      0.00      0.00     77.58
02:56:40 PM IST     all     14.94      0.00      7.68      0.00      0.00     77.38
02:56:41 PM IST     all     15.57      0.00      7.02      0.00      0.00     77.41
02:56:42 PM IST     all     15.18      0.00      7.38      0.00      0.00     77.44
02:56:43 PM IST     all     15.06      0.00      7.57      0.00      0.00     77.36
02:56:44 PM IST     all     14.54      0.00      8.40      0.00      0.00     77.06
02:56:45 PM IST     all     14.66      0.00      7.42      0.00      0.00     77.92
02:56:46 PM IST     all     15.69      0.00      6.99      0.00      0.00     77.32
02:56:47 PM IST     all     15.51      0.00      7.12      0.00      0.00     77.37
02:56:48 PM IST     all     15.94      0.00      7.08      0.00      0.00     76.98
02:56:49 PM IST     all     15.49      0.00      7.41      0.00      0.00     77.10
02:56:50 PM IST     all     16.72      0.00      7.18      0.00      0.00     76.10
02:56:51 PM IST     all     15.98      0.00      6.68      0.00      0.00     77.35
02:56:52 PM IST     all     14.35      0.00      7.89      0.08      0.00     77.67
02:56:53 PM IST     all     15.18      0.00      6.87      0.00      0.00     77.95
02:56:54 PM IST     all     16.03      0.00      7.43      0.00      0.00     76.54
02:56:55 PM IST     all     15.69      0.00      6.36      0.00      0.00     77.95
02:56:56 PM IST     all     14.72      0.00      7.61      0.00      0.00     77.66
02:56:57 PM IST     all     15.34      0.00      7.97      0.00      0.00     76.69
02:56:58 PM IST     all     15.46      0.00      6.88      0.00      0.00     77.66
02:56:59 PM IST     all     15.83      0.00      6.77      0.00      0.00     77.39
02:57:00 PM IST     all     15.39      0.00      7.40      0.08      0.00     77.12
02:57:01 PM IST     all     15.86      0.00      7.21      0.00      0.00     76.93
02:57:02 PM IST     all     15.04      0.00      7.39      0.00      0.00     77.57
02:57:03 PM IST     all     15.26      0.00      7.42      0.00      0.00     77.32
02:57:04 PM IST     all     15.38      0.00      7.73      0.00      0.00     76.89
02:57:05 PM IST     all     14.60      0.00      8.02      0.08      0.00     77.30
02:57:06 PM IST     all     14.82      0.00      7.54      0.00      0.00     77.65
02:57:07 PM IST     all     14.44      0.00      7.44      0.00      0.00     78.12
02:57:08 PM IST     all     14.76      0.00      8.09      0.00      0.00     77.15
02:57:09 PM IST     all     14.61      0.00      7.56      0.00      0.00     77.82
