procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1 938252 1580880  84192 3250956    5   16   129   143 1016   16  3  1 96  0  0  0
 3  0 937996 1532372  84200 3254404  128    0  5028  1376 11586 49650  9  7 83  0  0  0
 4  0 937996 1526336  84200 3266928    0    0     4     0 24274 127716 17  9 74  0  0  0
 6  0 937996 1519052  84228 3280616    0    0     0   232 21509 120727 18  9 73  0  0  0
 3  0 937996 1502408  84244 3288324    0    0     0   136 23246 128229 17  9 74  0  0  0
 1  0 937996 1558796  84244 3234828    0    0     0     0 22604 124763 17  8 74  1  0  0
 3  0 937996 1563296  84260 3226292    0    0     0   124 22705 126762 15  9 76  0  0  0
 5  0 937996 1563956  84260 3226276    0    0     0    20 22176 124441 16  9 75  0  0  0
 5  0 937996 1565948  84276 3225964    0    0     0   120 21652 123762 16  9 76  0  0  0
 3  0 937996 1551724  84276 3226192    0    0    40    72 22244 125372 17  8 75  0  0  0
 1  0 937996 1550460  84276 3224104    0    0     0     0 22281 124836 16  8 76  0  0  0
 5  0 937996 1551368  84284 3224132    0    0     0    20 22715 124369 16  9 75  0  0  0
 3  0 937996 1551908  84284 3224052    0    0     0   492 22703 126238 16  8 76  0  0  0
 4  0 937996 1542800  84292 3223900    0    0     0    52 21494 123071 15  8 76  0  0  0
 3  0 937996 1547192  84308 3224124    0    0     4   808 22077 123068 15  9 76  0  0  0
 4  0 937996 1547784  84308 3224252    0    0     0     0 21580 123879 16  8 76  0  0  0
 3  0 937996 1539044  84308 3224140    0    0     0     4 21847 124635 17  8 76  0  0  0
 3  0 937996 1541004  84316 3224144    0    0     0   816 21592 124554 16  8 76  0  0  0
 4  0 937996 1541124  84316 3224164    0    0     0     0 22346 127343 16  9 75  0  0  0
 5  0 937996 1541640  84324 3224180    0    0     0    64 22889 127114 15  9 76  0  0  0
 5  0 937996 1528856  84324 3224180    0    0     0     0 23074 124580 16  8 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 937996 1528524  84340 3224260    0    0     0    96 22573 126026 17  8 75  0  0  0
 5  0 937996 1527384  84348 3224788    0    0     0    20 23335 129581 17  8 76  0  0  0
 5  0 937996 1528308  84348 3224804    0    0     0     0 21588 124197 16  8 75  0  0  0
 1  0 937996 1528904  84348 3224812    0    0     0     0 21793 124992 16  8 76  0  0  0
 4  0 937996 1521360  84348 3224532    0    0     0     0 22694 125932 16  9 75  0  0  0
 3  0 937996 1523436  84356 3224532    0    0     0    20 21774 123844 16  8 76  0  0  0
 3  0 937996 1522740  84356 3224596    0    0     0     0 22000 125029 16  8 76  0  0  0
 3  0 937996 1524092  84364 3224500    0    0     0    16 22194 126782 15  9 76  0  0  0
 4  0 937996 1524804  84364 3224424    0    0     0     0 22777 127361 16  8 76  0  0  0
 3  0 937996 1507708  84364 3224552    0    0     0     0 21578 123563 16  8 75  0  0  0
 2  0 937996 1516888  84372 3224572    0    0     0    24 22179 125225 16  9 76  0  0  0
 3  0 937996 1516768  84372 3224580    0    0     0     0 23011 128470 16  8 76  0  0  0
 2  0 937996 1519656  84380 3224612    0    0     0    16 22569 126649 16  9 76  0  0  0
 5  0 937996 1519952  84396 3224624    0    0     8   104 21959 126042 16  8 76  0  0  0
 3  0 937996 1518516  84396 3224656    0    0     0    56 22741 127751 16  8 76  0  0  0
 2  0 937996 1516224  84396 3224720    0    0     0     0 22561 126173 16  8 76  0  0  0
 6  0 937996 1516856  84396 3224568    0    0     0     0 22083 125714 16  9 76  0  0  0
 5  0 937996 1518312  84404 3224760    0    0     0    20 23724 115562 31  8 61  0  0  0
 4  0 937996 1517392  84412 3225072    0    0     0    28 23293 129818 17  8 75  0  0  0
 1  0 937996 1516268  84428 3225108    0    0     0   112 23052 128964 17  8 76  0  0  0
 4  0 937996 1517508  84428 3225132    0    0     0     0 22672 127757 17  8 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 937996 1518344  84428 3224900    0    0     0    16 22524 126859 16  8 76  0  0  0
 1  0 937996 1516576  84428 3225416    0    0     0   108 22290 127615 16  8 76  0  0  0
 4  0 937996 1514280  84436 3225336    0    0     0    16 22130 126036 16  8 76  0  0  0
 3  0 937996 1514816  84444 3224920    0    0     0    24 23747 130772 16  9 76  0  0  0
 2  0 937996 1515060  84444 3224924    0    0     0     0 22411 125975 16  9 75  0  0  0
 3  0 937996 1498992  84444 3224788    0    0     0     0 23615 125367 16  9 75  0  0  0
 4  0 937996 1497556  84460 3225048    0    0     0   636 22147 125404 16  8 76  0  0  0
 1  0 937996 1497260  84468 3225068    0    0    16    28 21895 124367 16  8 76  0  0  0
 3  0 937996 1497292  84468 3225236   16    0    16    56 22134 126039 17  8 75  0  0  0
 3  0 937996 1501476  84468 3225176    0    0     0     0 22612 126595 16  8 76  0  0  0
 4  0 937996 1501084  84468 3225176    0    0     0     0 22363 125909 16  8 75  0  0  0
 3  0 937996 1500364  84476 3225304    0    0     0    24 22673 128114 16  8 76  0  0  0
 3  0 937996 1494720  84476 3225132    0    0     0     0 22473 126207 16  8 76  0  0  0
 4  0 937996 1495336  84484 3225132    0    0     0    24 22898 129207 16  8 76  0  0  0
 5  0 937996 1496092  84484 3225148    0    0     0     0 22717 127368 16  7 76  0  0  0
 2  0 937996 1496668  84484 3225168    0    0     0     8 22192 125054 16  8 76  0  0  0
 2  0 937996 1453620  84492 3225216    0    0     0    24 23792 123557 16  9 75  0  0  0
 3  0 937996 1474832  84492 3225200    0    0     0     0 23055 128649 15  9 76  0  0  0
 3  0 937996 1479552  84500 3225216    0    0     0    24 22114 124852 16  8 76  0  0  0
 3  0 937996 1476032  84516 3225384    0    0     0   100 22243 127455 16  8 76  0  0  0
 3  0 937996 1474368  84516 3225484    0    0     0     0 22376 126917 16  8 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 937996 1475296  84516 3225420    0    0     0     0 22827 127498 16  8 76  0  0  0
 4  0 937996 1477472  84532 3225496    0    0     0   124 22811 128618 16  9 75  0  0  0
 3  0 937996 1476824  84532 3225528    0    0     0    52 22109 125061 17  8 75  0  0  0
 5  0 937996 1476432  84540 3225496    0    0     0    24 22541 128472 15  8 76  0  0  0
