procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
54  0 1840140 758560  91672 3350380    0    0     0   172 29554 178746 22  8 70  0  0  0
52  0 1840140 775052  91672 3336112    0    0     0     0 29244 185656 14  7 78  0  0  0
54  0 1840140 778108  91680 3332784    0    0     0   408 30318 186149 15  8 78  0  0  0
51  0 1840140 780056  91688 3336888    0    0     0    24 30558 184384 16  8 76  0  0  0
54  0 1840140 784812  91688 3337004    0    0     0   688 30027 183242 16  7 76  0  0  0
53  0 1840140 769148  91696 3339200    0    0     0   124 31206 185113 16  8 76  1  0  0
52  0 1840140 772984  91696 3339464    0    0     0     0 29230 185365 16  7 78  0  0  0
51  0 1840140 791260  91696 3316992    0    0     0     0 29834 185053 18  7 76  0  0  0
53  0 1840140 771960  91696 3341008    0    0     0     0 30892 180578 19  8 73  0  0  0
51  0 1840140 744868  91720 3357620    0    0     0   140 29669 182484 16  7 76  0  0  0
51  0 1840140 735880  91728 3369852    0    0     0   928 29619 186081 14  8 78  0  0  0
53  0 1840140 753736  91728 3365544    0    0     0     0 29938 181775 16  8 76  0  0  0
51  0 1840140 738512  91728 3371980    0    0     0     0 30493 187349 15  7 77  0  0  0
52  0 1840140 745476  91728 3371280    0    0     0     0 31094 186466 15  8 78  0  0  0
51  0 1840140 756324  91416 3359448    0    0     0    16 30623 184646 15  7 77  0  0  0
54  0 1840140 763272  91424 3360120    0    0     0   112 30238 186217 16  7 77  0  0  0
50  0 1840140 730508  91424 3391408    0    0     0   440 30033 177885 20  8 72  0  0  0
53  0 1840140 717156  91424 3401332    0    0     0    24 29424 180897 16  8 75  0  0  0
52  0 1840140 730120  91424 3392236    0    0     0     0 30914 187276 14  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0 1840140 730052  91440 3386820    0    0     0   140 29772 187330 15  7 78  0  0  0
52  0 1840140 739068  91448 3379892    0    0     0   372 30611 187728 16  7 77  0  0  0
52  0 1840140 737284  91480 3376356    0    0     0   200 32109 190640 16  7 76  0  0  0
53  0 1840140 755024  91480 3353868    0    0     0   156 29020 186371 15  7 78  0  0  0
51  0 1840140 757684  91496 3353932    0    0     0   100 29646 186712 14  7 78  0  0  0
50  0 1840140 785044  91496 3341684    0    0     0     0 29820 180464 20  7 73  0  0  0
47  0 1840140 788084  91504 3341856    0    0     0    92 31265 188784 16  7 76  0  0  0
51  0 1840140 773496  91504 3341352    0    0     0     0 29182 184433 15  7 78  0  0  0
51  0 1840140 773928  91504 3344264    0    0     0     4 27449 181162 14  8 78  0  0  0
51  0 1840140 830376  91512 3277820    0    0     0   104 30196 185630 16  7 76  0  0  0
52  0 1840140 821916  91512 3292404    0    0     0   432 30646 184617 16  8 76  0  0  0
53  0 1840140 812136  91512 3297844    0    0     0     0 30180 182005 16  7 76  1  0  0
51  0 1840140 786864  91520 3312276    0    0     0   124 30146 185547 16  6 77  0  0  0
51  0 1840140 806516  91520 3309224    0    0     0    60 29903 183456 16  7 77  0  0  0
31  0 1840140 805028  91528 3302640    0    0     0   108 30378 187880 13  8 79  0  0  0
50  0 1840140 812812  91528 3288768    0    0     0     0 27707 182848 13  7 80  0  0  0
53  0 1840140 798856  91528 3297520    0    0     0   164 30159 184775 15  7 78  0  0  0
53  0 1840140 823808  91560 3285300    0    0     0   276 30780 186712 16  7 76  0  0  0
50  0 1840140 796728  91560 3308152    0    0     0    28 29473 177832 19  7 74  0  0  0
51  0 1840140 811004  91560 3288480    0    0     8     0 29330 184472 15  7 78  0  0  0
53  0 1840140 838428  91568 3272392    0    0     0   112 29798 184717 15  8 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
53  0 1840140 764856  91568 3343700    0    0     0   828 29604 184242 16  7 77  0  0  0
51  0 1840140 776656  91568 3325672    0    0     0     0 31366 183833 19  7 73  0  0  0
52  0 1840140 780212  91576 3330220    0    0     0    20 28826 182806 14  8 78  0  0  0
53  2 1840140 788848  91576 3332524    0    0     0     0 29809 184562 16  7 77  0  0  0
54  2 1840140 789936  91584 3324144    0    0     0   120 29958 185079 16  8 76  0  0  0
53  0 1840140 790272  91584 3324700    0    0     0     0 31516 185212 17  7 75  0  0  0
54  0 1840140 790264  91584 3320136    0    0     0    12 32154 190878 15  7 78  0  0  0
53  0 1840140 786632  91584 3306416    0    0     0     0 28824 181107 18  8 74  0  0  0
52  0 1840140 805748  91592 3290048    0    0     0    20 30806 186967 14  7 79  0  0  0
53  0 1840140 809264  91632 3289152    0    0     0   596 28080 183229 15  7 78  0  0  0
52  0 1840140 807808  91632 3287620    0    0     0     0 29726 186194 15  8 78  0  0  0
52  0 1840140 803276  91632 3287688    0    0     0   332 28298 185559 14  7 79  0  0  0
52  0 1840140 805540  91632 3277360    0    0     0     0 28106 184400 13  7 80  0  0  0
52  0 1840140 812940  91640 3277896    0    0     0    20 28354 185355 14  7 79  0  0  0
50  0 1840140 815068  91648 3277896    0    0     0    84 28113 185382 14  7 80  0  0  0
54  0 1840140 813040  91648 3277176    0    0     0     0 29383 186424 15  7 77  0  0  0
38  0 1840140 811648  91664 3294824    0    0     0   200 27693 160967 14  8 78  0  0  0
49  0 1840140 792232  91664 3294892    0    0     0     0 26674 167622 13  8 79  0  0  0
31  0 1840140 847080  91664 3240268    0    0    40     0 30427 180638 17  8 75  0  0  0
52  0 1840140 853472  91672 3230280    0    0     0    24 31240 188659 17  7 76  0  0  0
52  0 1840140 858552  91704 3229780    0    0     0   804 29126 185488 14  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 1840140 877792  91704 3222980    0    0     0   440 30243 184643 15  7 77  0  0  0
51  0 1840140 864336  91720 3222988    0    0     0   248 30081 187964 14  7 80  0  0  0
52  0 1840140 861244  91720 3215312    0    0     0    60 27174 182211 14  7 79  0  0  0
21  0 1840140 880972  91720 3218044    0    0     0     0 31996 187412 16  8 75  0  0  0
32  0 1840140 890808  91728 3211740    0    0     0   152 30544 184199 16  7 77  0  0  0
35  0 1840140 827640  91728 3272288    0    0     0   212 29635 179826 18  8 74  0  0  0
51  0 1840140 830492  91736 3264164    0    0     0   152 30830 185999 15  7 78  0  0  0
53  0 1840140 837680  91736 3251900    0    0     0    28 29014 184969 14  6 80  0  0  0
52  0 1840140 841972  91744 3245800    0    0     0    60 30256 185577 15  7 77  0  0  0
