Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

03:57:14 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:57:15 PM IST     all     14.81      0.00      7.83      0.43      0.00     76.94
03:57:16 PM IST     all     14.33      0.00      7.85      0.00      0.00     77.82
03:57:17 PM IST     all     14.40      0.00      6.81      0.00      0.00     78.79
03:57:18 PM IST     all     16.55      0.00      6.83      0.00      0.00     76.62
03:57:19 PM IST     all     15.17      0.00      7.16      0.00      0.00     77.66
03:57:20 PM IST     all     13.86      0.00      7.31      0.00      0.00     78.83
03:57:21 PM IST     all     13.52      0.00      8.20      0.00      0.00     78.28
03:57:22 PM IST     all     13.68      0.00      7.22      0.00      0.00     79.10
03:57:23 PM IST     all     16.20      0.00      6.17      0.00      0.00     77.63
03:57:24 PM IST     all     14.49      0.00      6.65      0.00      0.00     78.86
03:57:25 PM IST     all     13.40      0.00      6.70      0.00      0.00     79.90
03:57:26 PM IST     all     14.37      0.00      7.31      0.17      0.00     78.14
03:57:27 PM IST     all     18.70      0.00      6.92      0.00      0.00     74.38
03:57:28 PM IST     all     13.79      0.00      7.36      0.00      0.00     78.85
03:57:29 PM IST     all     13.76      0.00      7.39      0.00      0.00     78.84
03:57:30 PM IST     all     14.76      0.00      7.00      0.00      0.00     78.24
03:57:31 PM IST     all     13.80      0.00      7.20      0.00      0.00     79.01
03:57:32 PM IST     all     14.05      0.00      6.64      0.09      0.00     79.22
03:57:33 PM IST     all     14.02      0.00      7.56      0.00      0.00     78.42
03:57:34 PM IST     all     14.71      0.00      7.10      0.00      0.00     78.19
03:57:35 PM IST     all     12.85      0.00      7.71      0.09      0.00     79.35
03:57:36 PM IST     all     14.55      0.00      6.98      0.00      0.00     78.47
03:57:37 PM IST     all     16.91      0.00      6.70      0.43      0.00     75.97
03:57:38 PM IST     all     16.41      0.00      7.36      0.08      0.00     76.14
03:57:39 PM IST     all     14.95      0.00      6.70      0.34      0.00     78.01
03:57:40 PM IST     all     21.67      0.00      6.88      0.68      0.00     70.77
03:57:41 PM IST     all     15.49      0.00      7.32      0.00      0.00     77.19
03:57:42 PM IST     all     17.45      0.00      6.81      0.17      0.00     75.57
03:57:43 PM IST     all     15.93      0.00      6.90      0.17      0.00     77.00
03:57:44 PM IST     all     15.76      0.00      6.73      0.26      0.00     77.26
03:57:45 PM IST     all     15.81      0.00      7.27      0.08      0.00     76.84
03:57:46 PM IST     all     16.09      0.00      7.49      0.26      0.00     76.17
03:57:47 PM IST     all     15.27      0.00      8.06      0.42      0.00     76.25
03:57:48 PM IST     all     16.87      0.00      7.19      0.34      0.00     75.60
03:57:49 PM IST     all     17.82      0.00      7.11      0.09      0.00     74.98
03:57:50 PM IST     all     17.32      0.00      6.91      0.34      0.00     75.43
03:57:51 PM IST     all     15.22      0.00      6.55      0.17      0.00     78.06
03:57:52 PM IST     all     17.27      0.00      7.03      0.25      0.00     75.44
03:57:53 PM IST     all     15.67      0.00      7.58      0.51      0.00     76.24
03:57:54 PM IST     all     16.62      0.00      7.76      0.26      0.00     75.36
03:57:55 PM IST     all     14.44      0.00      7.99      0.25      0.00     77.32
03:57:56 PM IST     all     15.53      0.00      7.30      0.34      0.00     76.83
03:57:57 PM IST     all     14.31      0.00      7.79      0.08      0.00     77.82
03:57:58 PM IST     all     16.64      0.00      7.63      0.17      0.00     75.56
03:57:59 PM IST     all     14.37      0.00      7.61      0.09      0.00     77.93
03:58:00 PM IST     all     16.20      0.00      7.71      0.00      0.00     76.09
03:58:01 PM IST     all     15.91      0.00      7.15      0.60      0.00     76.34
03:58:02 PM IST     all     15.61      0.00      7.00      0.09      0.00     77.30
03:58:03 PM IST     all     14.42      0.00      6.78      0.09      0.00     78.71
03:58:04 PM IST     all     15.50      0.09      7.16      0.51      0.00     76.75
03:58:05 PM IST     all     15.08      0.09      6.98      0.17      0.00     77.68
03:58:06 PM IST     all     15.08      0.00      6.98      0.34      0.00     77.60
03:58:07 PM IST     all     15.91      0.09      6.84      0.34      0.00     76.82
03:58:08 PM IST     all     14.90      0.00      8.64      0.25      0.00     76.21
03:58:09 PM IST     all     13.74      0.00      8.18      0.17      0.00     77.91
03:58:10 PM IST     all     14.03      0.00      7.36      0.09      0.00     78.53
03:58:11 PM IST     all     13.92      0.00      7.56      0.08      0.00     78.44
03:58:12 PM IST     all     15.23      0.00      7.61      0.09      0.00     77.07
03:58:13 PM IST     all     21.80      0.00      7.46      0.17      0.00     70.57
03:58:14 PM IST     all     13.48      0.00      7.51      0.00      0.00     79.01
03:58:15 PM IST     all     13.71      0.00      7.33      0.43      0.00     78.53
03:58:16 PM IST     all     14.97      0.00      7.40      0.17      0.00     77.47
03:58:17 PM IST     all     22.82      0.00      7.69      0.09      0.00     69.40
03:58:18 PM IST     all     15.93      0.00      7.03      0.17      0.00     76.86
03:58:19 PM IST     all     21.74      0.00      8.16      0.09      0.00     70.02
03:58:20 PM IST     all     14.53      0.00      7.35      0.00      0.00     78.12
03:58:21 PM IST     all     14.63      0.00      7.65      0.17      0.00     77.55
03:58:22 PM IST     all     15.88      0.00      7.60      0.42      0.00     76.10
03:58:23 PM IST     all     16.03      0.00      6.99      0.34      0.00     76.64
03:58:24 PM IST     all     15.59      0.00      7.50      0.60      0.00     76.32
03:58:25 PM IST     all     15.67      0.00      6.73      0.17      0.00     77.43
03:58:26 PM IST     all     17.66      0.00      6.57      0.00      0.00     75.77
03:58:27 PM IST     all     19.20      0.00      7.94      0.26      0.00     72.61
03:58:28 PM IST     all     16.17      0.00      7.36      0.17      0.00     76.30
03:58:29 PM IST     all     14.15      0.00      7.93      0.00      0.00     77.92
03:58:30 PM IST     all     16.03      0.00      8.40      0.42      0.00     75.15
03:58:31 PM IST     all     15.23      0.00      7.01      0.00      0.00     77.76
03:58:32 PM IST     all     14.66      0.00      7.59      0.34      0.00     77.41
03:58:33 PM IST     all     15.41      0.00      7.53      0.26      0.00     76.80
03:58:34 PM IST     all     16.21      0.00      6.88      0.17      0.00     76.74
03:58:35 PM IST     all     19.76      0.00      7.67      0.34      0.00     72.23
03:58:36 PM IST     all     16.58      0.00      7.82      0.51      0.00     75.09
03:58:37 PM IST     all     14.59      0.00      7.46      0.25      0.00     77.69
03:58:38 PM IST     all     14.37      0.00      7.14      0.00      0.00     78.49
03:58:39 PM IST     all     15.79      0.00      6.87      0.00      0.00     77.34
03:58:40 PM IST     all     16.45      0.00      7.42      0.00      0.00     76.13
03:58:41 PM IST     all     15.01      0.00      6.64      0.09      0.00     78.26
03:58:42 PM IST     all     14.38      0.00      7.32      0.00      0.00     78.30
03:58:43 PM IST     all     19.80      0.09      6.74      0.00      0.00     73.38
03:58:44 PM IST     all     16.57      0.00      7.09      0.09      0.00     76.26
03:58:45 PM IST     all     15.05      0.00      7.48      0.00      0.00     77.47
03:58:46 PM IST     all     13.85      0.00      8.03      0.09      0.00     78.03
03:58:47 PM IST     all     15.83      0.00      7.20      0.17      0.00     76.80
03:58:48 PM IST     all     15.50      0.00      8.30      0.17      0.00     76.04
03:58:49 PM IST     all     16.14      0.00      7.38      0.43      0.00     76.05
03:58:50 PM IST     all     16.21      0.00      6.20      0.34      0.00     77.25
03:58:51 PM IST     all     16.09      0.00      7.06      0.17      0.00     76.68
03:58:52 PM IST     all     13.45      0.00      7.95      0.08      0.00     78.51
03:58:53 PM IST     all     13.13      0.00      6.87      0.00      0.00     80.00
03:58:54 PM IST     all     15.03      0.00      7.26      0.09      0.00     77.63
03:58:55 PM IST     all     16.10      0.00      7.24      0.17      0.00     76.49
03:58:56 PM IST     all     18.60      0.00      7.42      0.17      0.00     73.81
03:58:57 PM IST     all     15.25      0.00      6.73      0.00      0.00     78.02
03:58:58 PM IST     all     15.35      0.00      7.55      0.42      0.00     76.68
03:58:59 PM IST     all     15.83      0.08      7.28      0.08      0.00     76.71
03:59:00 PM IST     all     19.07      0.00      7.37      0.17      0.00     73.39
03:59:01 PM IST     all     14.07      0.00      7.59      0.09      0.00     78.26
03:59:02 PM IST     all     15.67      0.00      6.93      0.43      0.00     76.97
03:59:03 PM IST     all     16.01      0.00      7.92      0.09      0.00     75.98
03:59:04 PM IST     all     17.27      0.00      7.30      0.26      0.00     75.17
03:59:05 PM IST     all     15.33      0.00      6.63      0.17      0.00     77.86
03:59:06 PM IST     all     17.83      0.00      7.98      0.00      0.00     74.19
03:59:07 PM IST     all     14.04      0.00      7.06      0.00      0.00     78.89
03:59:08 PM IST     all     15.23      0.00      6.77      0.00      0.00     78.00
03:59:09 PM IST     all     14.71      0.00      7.69      0.00      0.00     77.60
