Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:02:50 AM IST  all   13.52    0.00    4.17    0.09    0.00    1.28    0.00    0.00    0.00   80.95
12:02:51 AM IST  all   12.90    0.00    4.75    0.08    0.00    2.12    0.00    0.00    0.00   80.14
12:02:52 AM IST  all   12.55    0.00    5.05    0.08    0.00    2.27    0.00    0.00    0.00   80.03
12:02:53 AM IST  all   13.36    0.00    4.56    0.08    0.00    1.78    0.00    0.00    0.00   80.22
12:02:54 AM IST  all   11.80    0.00    5.26    0.08    0.00    1.78    0.00    0.00    0.00   81.07
12:02:55 AM IST  all   13.04    0.00    4.91    0.17    0.00    1.35    0.00    0.00    0.00   80.52
12:02:56 AM IST  all   12.36    0.00    5.03    0.09    0.00    1.36    0.00    0.00    0.00   81.16
12:02:57 AM IST  all   12.84    0.00    4.76    0.09    0.00    1.70    0.00    0.00    0.00   80.61
12:02:58 AM IST  all   12.35    0.00    5.11    0.00    0.00    1.45    0.00    0.00    0.00   81.09
12:02:59 AM IST  all   12.74    0.00    4.16    0.25    0.00    1.95    0.00    0.00    0.00   80.88
12:03:00 AM IST  all   13.01    0.00    4.62    0.00    0.00    1.54    0.00    0.00    0.00   80.82
12:03:01 AM IST  all   12.56    0.00    4.27    0.17    0.00    1.88    0.00    0.00    0.00   81.11
12:03:02 AM IST  all   12.50    0.00    4.93    0.17    0.00    1.53    0.00    0.00    0.00   80.87
12:03:03 AM IST  all   12.79    0.00    5.17    0.08    0.00    1.78    0.00    0.00    0.00   80.19
12:03:04 AM IST  all   13.31    0.00    4.83    0.08    0.00    1.44    0.00    0.00    0.00   80.34
12:03:05 AM IST  all   12.12    0.00    4.78    0.00    0.00    1.96    0.00    0.00    0.00   81.14
12:03:06 AM IST  all   12.68    0.00    5.07    0.17    0.00    1.52    0.00    0.00    0.00   80.56
12:03:07 AM IST  all   13.18    0.00    4.90    0.08    0.00    1.77    0.00    0.00    0.00   80.07
12:03:08 AM IST  all   13.01    0.00    4.51    0.09    0.00    1.62    0.00    0.00    0.00   80.78
12:03:09 AM IST  all   12.48    0.00    5.26    0.08    0.00    1.44    0.00    0.00    0.00   80.73
12:03:10 AM IST  all   12.63    0.00    5.30    0.08    0.00    1.77    0.00    0.00    0.00   80.22
12:03:11 AM IST  all   12.48    0.00    4.58    0.08    0.00    2.04    0.00    0.00    0.00   80.81
12:03:12 AM IST  all   12.98    0.00    4.75    0.08    0.00    1.61    0.00    0.00    0.00   80.58
12:03:13 AM IST  all   12.89    0.00    4.83    0.08    0.00    1.44    0.00    0.00    0.00   80.75
12:03:14 AM IST  all   12.02    0.00    5.03    0.09    0.00    1.88    0.00    0.00    0.00   80.99
12:03:15 AM IST  all   11.87    0.00    5.21    0.09    0.00    1.79    0.00    0.00    0.00   81.04
12:03:16 AM IST  all   12.37    0.00    5.25    0.08    0.00    1.78    0.00    0.00    0.00   80.51
12:03:17 AM IST  all   12.46    0.00    5.17    0.08    0.00    1.53    0.00    0.00    0.00   80.76
12:03:18 AM IST  all   30.17    0.00    4.96    0.09    0.00    1.37    0.00    0.00    0.00   63.42
12:03:19 AM IST  all   13.21    0.00    4.74    0.08    0.00    1.27    0.00    0.00    0.00   80.69
12:03:20 AM IST  all   13.05    0.00    4.32    0.00    0.00    2.20    0.00    0.00    0.00   80.42
12:03:21 AM IST  all   12.32    0.00    5.18    0.08    0.00    1.44    0.00    0.00    0.00   80.97
12:03:22 AM IST  all   12.84    0.00    4.68    0.09    0.00    1.70    0.00    0.00    0.00   80.70
12:03:23 AM IST  all   12.88    0.00    5.00    0.08    0.00    1.44    0.00    0.00    0.00   80.59
12:03:24 AM IST  all   12.83    0.00    4.45    0.09    0.00    1.63    0.00    0.00    0.00   81.01
12:03:25 AM IST  all   12.64    0.00    4.66    0.00    0.00    1.87    0.00    0.00    0.00   80.83
12:03:26 AM IST  all   12.53    0.00    4.35    0.00    0.00    1.71    0.00    0.00    0.00   81.42
12:03:27 AM IST  all   12.50    0.00    4.42    0.17    0.00    1.79    0.00    0.00    0.00   81.12
12:03:28 AM IST  all   12.96    0.00    4.52    0.09    0.00    1.45    0.00    0.00    0.00   80.99
12:03:29 AM IST  all   12.04    0.00    5.04    0.09    0.00    1.62    0.00    0.00    0.00   81.21
12:03:30 AM IST  all   13.11    0.00    4.68    0.09    0.00    1.45    0.00    0.00    0.00   80.68
12:03:31 AM IST  all   12.12    0.00    5.46    0.09    0.00    1.45    0.00    0.00    0.00   80.89
12:03:32 AM IST  all   12.35    0.00    4.60    0.17    0.00    2.21    0.00    0.00    0.00   80.66
12:03:33 AM IST  all   12.22    0.00    5.43    0.08    0.00    1.44    0.00    0.00    0.00   80.81
12:03:34 AM IST  all   13.98    0.00    4.63    0.08    0.00    1.18    0.00    0.00    0.00   80.12
12:03:35 AM IST  all   12.83    0.00    4.50    0.08    0.00    1.70    0.00    0.00    0.00   80.88
