Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

04:59:30 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:59:31 PM IST     all     12.47      0.00      2.34      7.70      0.00     77.49
04:59:32 PM IST     all     13.23      0.00      3.37      6.82      0.00     76.58
04:59:33 PM IST     all     13.82      0.00      3.52      4.77      0.00     77.89
04:59:34 PM IST     all      5.16      0.00      3.30      5.84      0.00     85.70
04:59:35 PM IST     all      8.95      0.00      4.48      5.15      0.00     81.42
04:59:36 PM IST     all     13.23      0.08      6.53      0.17      0.00     79.98
04:59:37 PM IST     all     14.55      0.00      6.34      0.09      0.00     79.02
04:59:38 PM IST     all     13.25      0.00      6.97      0.25      0.00     79.52
04:59:39 PM IST     all     13.01      0.00      7.19      0.09      0.00     79.71
04:59:40 PM IST     all     14.02      0.00      7.18      0.08      0.00     78.72
04:59:41 PM IST     all     12.86      0.00      6.81      0.09      0.00     80.24
04:59:42 PM IST     all     13.45      0.00      7.53      0.08      0.00     78.93
04:59:43 PM IST     all     14.97      0.00      7.31      0.09      0.00     77.64
04:59:44 PM IST     all     14.14      0.00      7.03      0.08      0.00     78.75
04:59:45 PM IST     all     13.95      0.00      6.04      0.09      0.00     79.93
04:59:46 PM IST     all     12.46      0.00      7.00      0.09      0.00     80.46
04:59:47 PM IST     all     12.69      0.00      7.41      0.09      0.00     79.81
04:59:48 PM IST     all     13.74      0.00      6.96      0.08      0.00     79.22
04:59:49 PM IST     all     14.10      0.00      6.88      0.08      0.00     78.93
04:59:50 PM IST     all     14.25      0.00      7.04      0.08      0.00     78.63
04:59:51 PM IST     all     12.67      0.00      6.59      0.17      0.00     80.57
04:59:52 PM IST     all     13.40      0.00      6.79      0.08      0.00     79.73
04:59:53 PM IST     all     14.01      0.00      7.13      0.08      0.00     78.78
04:59:54 PM IST     all     14.10      0.00      6.88      0.08      0.00     78.93
04:59:55 PM IST     all     11.62      0.00      7.61      0.09      0.00     80.68
04:59:56 PM IST     all     12.72      0.00      6.70      0.00      0.00     80.58
04:59:57 PM IST     all     12.41      0.00      6.63      0.26      0.00     80.70
04:59:58 PM IST     all     13.47      0.00      7.83      0.08      0.00     78.62
04:59:59 PM IST     all     13.69      0.00      6.72      0.09      0.00     79.51
05:00:00 PM IST     all     13.61      0.00      7.06      0.00      0.00     79.34
05:00:01 PM IST     all     12.68      0.00      6.51      0.09      0.00     80.72
05:00:02 PM IST     all     12.77      0.00      7.46      0.43      0.00     79.35
05:00:03 PM IST     all     15.44      0.60      6.91      3.75      0.00     73.29
05:00:04 PM IST     all     13.44      0.00      6.89      0.17      0.00     79.51
05:00:05 PM IST     all     12.45      0.00      7.54      0.17      0.00     79.85
05:00:06 PM IST     all     13.90      0.00      7.16      0.09      0.00     78.86
05:00:07 PM IST     all     13.45      0.00      6.64      0.09      0.00     79.83
05:00:08 PM IST     all     12.72      0.00      7.09      0.09      0.00     80.10
05:00:09 PM IST     all     13.58      0.00      6.66      0.08      0.00     79.68
05:00:10 PM IST     all     14.07      0.00      6.73      0.09      0.00     79.11
05:00:11 PM IST     all     12.54      0.00      7.17      0.09      0.00     80.20
05:00:12 PM IST     all     13.13      0.00      6.82      0.00      0.00     80.05
05:00:13 PM IST     all     13.00      0.00      6.80      0.17      0.00     80.03
05:00:14 PM IST     all     15.61      0.00      7.43      0.17      0.00     76.79
05:00:15 PM IST     all     14.51      0.00      6.58      0.08      0.00     78.82
05:00:16 PM IST     all     13.52      0.00      6.38      0.09      0.00     80.02
05:00:17 PM IST     all     13.44      0.00      6.72      0.00      0.00     79.85
05:00:18 PM IST     all     14.25      0.00      6.57      0.09      0.00     79.10
05:00:19 PM IST     all     13.34      0.00      6.80      0.08      0.00     79.78
05:00:20 PM IST     all     13.40      0.00      7.42      0.09      0.00     79.10
05:00:21 PM IST     all     12.89      0.00      6.83      0.09      0.00     80.19
05:00:22 PM IST     all     13.51      0.00      6.20      0.08      0.00     80.20
05:00:23 PM IST     all     16.32      0.00      6.75      0.09      0.00     76.84
05:00:24 PM IST     all     14.15      0.00      7.20      0.08      0.00     78.56
05:00:25 PM IST     all     12.89      0.00      7.21      0.17      0.00     79.73
05:00:26 PM IST     all     13.26      0.00      6.76      0.00      0.00     79.98
05:00:27 PM IST     all     12.73      0.00      6.96      0.08      0.00     80.22
05:00:28 PM IST     all     16.04      0.00      6.23      0.09      0.00     77.65
05:00:29 PM IST     all     13.61      0.00      6.46      0.09      0.00     79.85
05:00:30 PM IST     all     13.48      0.00      6.70      0.00      0.00     79.83
05:00:31 PM IST     all     12.73      0.00      7.30      0.08      0.00     79.88
05:00:32 PM IST     all     15.88      0.00      6.58      0.09      0.00     77.46
05:00:33 PM IST     all     13.13      0.00      6.82      0.09      0.00     79.97
05:00:34 PM IST     all     13.40      0.00      7.04      0.17      0.00     79.39
05:00:35 PM IST     all     12.73      0.00      7.22      0.08      0.00     79.97
05:00:36 PM IST     all     14.02      0.00      6.67      0.17      0.00     79.15
05:00:37 PM IST     all     13.41      0.00      6.79      0.25      0.00     79.54
05:00:38 PM IST     all     13.15      0.00      6.96      0.08      0.00     79.81
05:00:39 PM IST     all     14.92      0.00      6.22      0.00      0.00     78.86
05:00:40 PM IST     all     14.61      0.00      6.97      0.08      0.00     78.33
05:00:41 PM IST     all     12.91      0.00      6.58      0.09      0.00     80.43
05:00:42 PM IST     all     13.08      0.00      7.26      0.08      0.00     79.58
05:00:43 PM IST     all     13.03      0.08      7.11      0.08      0.00     79.70
05:00:44 PM IST     all     13.10      0.08      7.86      0.00      0.00     78.95
05:00:45 PM IST     all     13.49      0.00      6.58      0.17      0.00     79.76
05:00:46 PM IST     all     16.31      0.00      6.46      0.08      0.00     77.15
05:00:47 PM IST     all     12.92      0.00      8.39      0.08      0.00     78.61
05:00:48 PM IST     all     13.13      0.00      6.48      0.26      0.00     80.14
05:00:49 PM IST     all     16.43      0.00      6.30      0.09      0.00     77.19
05:00:50 PM IST     all     13.51      0.00      6.54      0.00      0.00     79.95
05:00:51 PM IST     all     13.19      0.00      7.10      0.17      0.00     79.54
05:00:52 PM IST     all     12.76      0.00      6.59      0.09      0.00     80.57
05:00:53 PM IST     all     14.27      0.00      7.22      0.00      0.00     78.50
05:00:54 PM IST     all     13.11      0.00      6.68      0.17      0.00     80.03
05:00:55 PM IST     all     12.71      0.00      7.12      0.00      0.00     80.17
05:00:56 PM IST     all     12.91      0.00      6.80      0.08      0.00     80.20
05:00:57 PM IST     all     12.81      0.00      6.79      0.08      0.00     80.32
05:00:58 PM IST     all     12.66      0.00      7.10      0.09      0.00     80.15
05:00:59 PM IST     all     13.50      0.00      6.62      0.08      0.00     79.80
05:01:00 PM IST     all     13.53      0.00      6.68      0.09      0.00     79.71
05:01:01 PM IST     all     13.26      0.00      6.07      0.09      0.00     80.58
05:01:02 PM IST     all     13.93      0.00      6.88      0.08      0.00     79.10
05:01:03 PM IST     all     12.64      0.00      6.83      0.09      0.00     80.44
05:01:04 PM IST     all     11.93      0.00      7.84      0.26      0.00     79.98
05:01:05 PM IST     all     13.10      0.00      7.06      0.00      0.00     79.85
05:01:06 PM IST     all     13.05      0.00      6.66      0.09      0.00     80.20
05:01:07 PM IST     all     13.32      0.00      6.62      0.08      0.00     79.98
05:01:08 PM IST     all     12.20      0.00      7.42      0.09      0.00     80.29
05:01:09 PM IST     all     13.49      0.00      7.00      0.17      0.00     79.33
05:01:10 PM IST     all     12.52      0.00      7.12      0.09      0.00     80.27
05:01:11 PM IST     all     14.20      0.00      7.06      0.08      0.00     78.66
05:01:12 PM IST     all     12.18      0.00      6.82      0.09      0.00     80.92
05:01:13 PM IST     all     12.65      0.00      7.22      0.08      0.00     80.05
05:01:14 PM IST     all     15.24      0.00      6.68      0.17      0.00     77.91
05:01:15 PM IST     all     12.85      0.00      6.43      0.09      0.00     80.63
05:01:16 PM IST     all     12.73      0.00      6.28      0.00      0.00     81.00
05:01:17 PM IST     all     16.36      0.00      6.83      0.17      0.00     76.64
05:01:18 PM IST     all     12.77      0.00      6.77      0.09      0.00     80.38
05:01:19 PM IST     all     13.05      0.00      7.20      0.00      0.00     79.75
05:01:20 PM IST     all     13.65      0.00      6.78      0.09      0.00     79.48
05:01:21 PM IST     all     13.80      0.00      7.37      0.08      0.00     78.75
05:01:22 PM IST     all     13.39      0.00      6.69      0.08      0.00     79.83
05:01:23 PM IST     all     14.57      0.00      6.90      0.09      0.00     78.45
05:01:24 PM IST     all     13.31      0.00      6.86      0.08      0.00     79.75
05:01:25 PM IST     all     12.51      0.00      6.60      0.09      0.00     80.81
05:01:26 PM IST     all     13.75      0.00      7.22      0.00      0.00     79.03
05:01:27 PM IST     all     13.78      0.00      6.72      0.00      0.00     79.51
05:01:28 PM IST     all     12.31      0.00      7.18      0.00      0.00     80.51
05:01:29 PM IST     all     18.57      0.00      8.19      0.59      0.00     72.66
05:01:30 PM IST     all     18.10      0.00      6.58      0.43      0.00     74.89
05:01:31 PM IST     all     18.18      0.00      6.32      0.61      0.00     74.89
05:01:32 PM IST     all     16.44      0.00      6.85      2.83      0.00     73.89
05:01:33 PM IST     all     15.29      0.00      7.82      0.51      0.00     76.38
05:01:34 PM IST     all     17.34      0.00      6.51      0.25      0.00     75.89
05:01:35 PM IST     all     15.54      0.00      6.87      0.43      0.00     77.17
05:01:36 PM IST     all     14.25      0.00      7.63      0.08      0.00     78.03
05:01:37 PM IST     all     16.22      0.00      8.28      0.08      0.00     75.42
05:01:38 PM IST     all     18.49      0.00      7.04      0.59      0.00     73.88
05:01:39 PM IST     all     15.44      0.00      7.34      0.34      0.00     76.88
05:01:40 PM IST     all     16.23      0.00      7.19      0.25      0.00     76.33
05:01:41 PM IST     all     23.09      0.00      7.73      0.00      0.00     69.18
05:01:42 PM IST     all     18.70      0.00      6.78      0.09      0.00     74.44
05:01:43 PM IST     all     16.88      0.00      6.55      0.52      0.00     76.06
05:01:44 PM IST     all     19.56      0.00      7.25      0.59      0.00     72.60
05:01:45 PM IST     all     18.91      0.00      6.76      0.09      0.00     74.25
05:01:46 PM IST     all     17.88      0.00      6.93      0.00      0.00     75.19
05:01:47 PM IST     all     29.91      0.00      7.52      0.43      0.00     62.14
05:01:48 PM IST     all     34.19      0.00      8.12      0.60      0.00     57.09
05:01:49 PM IST     all     31.01      0.00      8.01      1.19      0.00     59.80
05:01:50 PM IST     all     36.96      0.00      7.43      1.01      0.00     54.60
05:01:51 PM IST     all     37.41      0.09      8.33      0.09      0.00     54.08
05:01:52 PM IST     all     39.51      0.00      7.34      0.94      0.00     52.22
05:01:53 PM IST     all     44.92      0.00      7.46      0.85      0.00     46.78
05:01:54 PM IST     all     54.33      0.00      9.84      0.59      0.00     35.24
05:01:55 PM IST     all     48.69      0.00     10.61      0.93      0.00     39.76
05:01:56 PM IST     all     42.12      0.00     10.51      0.26      0.00     47.11
05:01:57 PM IST     all     38.25      0.00      9.52      0.51      0.00     51.72
05:01:58 PM IST     all     34.18      0.00      8.02      0.34      0.00     57.47
05:01:59 PM IST     all     43.65      0.00      8.80      0.85      0.00     46.70
05:02:00 PM IST     all     40.51      0.09      8.77      0.34      0.00     50.30
05:02:01 PM IST     all     32.57      0.00      8.40      0.93      0.00     58.10
05:02:02 PM IST     all     28.32      0.00      8.93      1.02      0.00     61.73
05:02:03 PM IST     all     25.04      0.00      8.46      1.54      0.00     64.96
05:02:04 PM IST     all     26.81      0.00      8.11      1.37      0.00     63.71
05:02:05 PM IST     all     25.62      0.00      8.26      0.26      0.00     65.87
05:02:06 PM IST     all     20.61      0.00      9.33      1.27      0.00     68.79
05:02:07 PM IST     all     27.77      0.00      9.45      0.34      0.00     62.44
05:02:08 PM IST     all     23.66      0.00      8.17      0.09      0.00     68.09
05:02:09 PM IST     all     26.96      0.00      8.01      0.17      0.00     64.86
05:02:10 PM IST     all     22.02      0.00      7.48      0.09      0.00     70.41
05:02:11 PM IST     all     23.17      0.00      8.26      0.43      0.00     68.14
05:02:12 PM IST     all     25.55      0.00      8.86      0.34      0.00     65.25
05:02:13 PM IST     all     26.24      0.00      7.93      0.34      0.00     65.49
05:02:14 PM IST     all     26.32      0.00      7.24      0.77      0.00     65.67
05:02:15 PM IST     all     16.09      0.00      6.98      1.28      0.00     75.66
05:02:16 PM IST     all     15.63      0.00      7.56      1.53      0.00     75.28
05:02:17 PM IST     all     17.55      0.00      7.24      0.09      0.00     75.13
05:02:18 PM IST     all     17.06      0.00      6.96      0.34      0.00     75.64
05:02:19 PM IST     all     27.09      0.00      6.90      0.34      0.00     65.67
05:02:20 PM IST     all     15.89      0.00      7.05      0.25      0.00     76.81
05:02:21 PM IST     all     16.21      0.00      7.13      0.08      0.00     76.57
05:02:22 PM IST     all     14.15      0.00      7.59      0.43      0.00     77.83
05:02:23 PM IST     all     15.60      0.00      7.84      0.26      0.00     76.30
05:02:24 PM IST     all     13.62      0.00      6.94      0.09      0.00     79.35
05:02:25 PM IST     all     17.02      0.00      6.64      0.43      0.00     75.91
05:02:26 PM IST     all     17.01      0.00      7.39      0.86      0.00     74.74
05:02:27 PM IST     all     19.27      0.00      7.08      0.34      0.00     73.32
05:02:28 PM IST     all     37.87      0.00      7.83      0.09      0.00     54.21
05:02:29 PM IST     all     28.13      0.00      6.35      0.51      0.00     65.01
05:02:30 PM IST     all     17.25      0.00      7.39      0.42      0.00     74.94
05:02:31 PM IST     all     16.41      0.00      7.28      0.25      0.00     76.06
05:02:32 PM IST     all     20.68      0.00      8.17      0.51      0.00     70.64
05:02:33 PM IST     all     14.41      0.00      7.63      0.34      0.00     77.62
05:02:34 PM IST     all     14.82      0.00      7.75      0.60      0.00     76.83
05:02:35 PM IST     all     14.13      0.00      7.62      0.00      0.00     78.25
05:02:36 PM IST     all     14.89      0.00      7.19      0.51      0.00     77.41
05:02:37 PM IST     all     17.49      0.00      7.72      0.85      0.00     73.94
05:02:38 PM IST     all     14.91      0.00      7.75      0.09      0.00     77.26
05:02:39 PM IST     all     14.65      0.00      7.20      0.34      0.00     77.81
05:02:40 PM IST     all     15.23      0.00      8.00      0.00      0.00     76.77
05:02:41 PM IST     all     15.65      0.00      7.19      0.17      0.00     76.99
05:02:42 PM IST     all     15.79      0.00      7.05      0.17      0.00     76.99
05:02:43 PM IST     all     17.57      0.00      7.05      0.08      0.00     75.30
05:02:44 PM IST     all     17.38      0.00     11.07      0.34      0.00     71.21
05:02:45 PM IST     all     15.78      0.00      7.85      0.25      0.00     76.12
05:02:46 PM IST     all     14.64      0.00      7.06      0.60      0.00     77.69
05:02:47 PM IST     all     19.39      0.00      7.99      0.17      0.00     72.45
05:02:48 PM IST     all     16.42      0.00      7.19      0.09      0.00     76.30
05:02:49 PM IST     all     15.48      0.00      7.74      0.17      0.00     76.62
05:02:50 PM IST     all     15.74      0.00      6.79      0.17      0.00     77.30
05:02:51 PM IST     all     16.51      0.00      7.53      0.00      0.00     75.96
05:02:52 PM IST     all     16.23      0.00      6.75      0.09      0.00     76.94
05:02:53 PM IST     all     16.18      0.00      6.90      0.26      0.00     76.66
05:02:54 PM IST     all     16.08      0.00      6.76      0.26      0.00     76.90
05:02:55 PM IST     all     16.28      0.00      6.94      0.43      0.00     76.35
05:02:56 PM IST     all     15.83      0.00      7.01      0.77      0.00     76.39
05:02:57 PM IST     all     15.10      0.00      7.68      0.09      0.00     77.13
05:02:58 PM IST     all     14.32      0.00      7.50      0.09      0.00     78.09
05:02:59 PM IST     all     17.32      0.00      8.02      0.09      0.00     74.57
05:03:00 PM IST     all     35.02      0.00      9.20      0.34      0.00     55.44
05:03:01 PM IST     all     49.24      0.00     11.61      0.68      0.00     38.47
05:03:02 PM IST     all     22.01      0.00      7.76      0.43      0.00     69.80
05:03:03 PM IST     all     28.27      0.00      8.15      1.61      0.00     61.97
05:03:04 PM IST     all     16.64      0.00      7.29      0.94      0.00     75.13
05:03:05 PM IST     all     20.94      0.00      7.49      0.94      0.00     70.64
05:03:06 PM IST     all     17.89      0.00      7.50      0.51      0.00     74.11
05:03:07 PM IST     all     15.08      0.00      6.51      0.26      0.00     78.15
05:03:08 PM IST     all     14.16      0.00      7.12      0.26      0.00     78.45
05:03:09 PM IST     all     18.18      0.00      6.43      0.26      0.00     75.13
05:03:10 PM IST     all     31.59      0.00      7.90      0.77      0.00     59.74
05:03:11 PM IST     all     22.76      0.00      8.18      0.51      0.00     68.54
05:03:12 PM IST     all     13.85      0.00      7.90      0.42      0.00     77.82
05:03:13 PM IST     all     16.07      0.00      6.24      0.34      0.00     77.35
05:03:14 PM IST     all     13.04      0.00      7.25      0.17      0.00     79.53
05:03:15 PM IST     all     18.95      0.00      8.04      0.34      0.00     72.67
