procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0 1840908 334992  34508 3475472    0    0     0  2012 28618 173169 13  7 79  0  0  0
36  0 1840908 337324  34508 3475672    0    0     0  2152 28478 175488 13  7 80  0  0  0
53  0 1840908 334436  34516 3475908    0    0     0  2728 28207 175010 14  7 79  0  0  0
33  1 1840908 334928  34540 3476100    0    0     0  2216 28973 175882 13  7 80  0  0  0
43  0 1840908 330460  34548 3473316    0    0     0  2012 28442 174323 13  7 80  0  0  0
49  1 1840908 338564  34548 3473216    0    0     0  1936 28765 176990 15  6 79  0  0  0
41  0 1840908 340212  34548 3474476    0    0     0  1936 28808 174667 14  7 78  0  0  0
45  0 1840908 342432  34556 3474768    0    0     0  2192 28894 176067 13  7 80  0  0  0
35  0 1840908 352800  34556 3475096    0    0     0  2064 28338 173277 13  7 80  0  0  0
45  0 1840908 356228  34564 3474668    0    0     0  2032 26951 164412 13  7 80  0  0  0
48  0 1840908 352688  34564 3475132    0    0     0  2040 29618 176951 13  8 79  0  0  0
51  0 1840908 351888  34580 3475504    0    0     0  2188 28528 174844 14  6 80  0  0  0
44  0 1840908 352408  34580 3475848    0    0     0  1992 28270 173214 16  7 77  0  0  0
46  0 1840908 348348  34580 3476140    0    0     0  1952 29222 175786 13  8 79  0  0  0
41  0 1840908 347176  34588 3476484    0    0    16  2072 25680 170028 13  7 80  0  0  0
51  0 1840908 348172  34588 3476724    0    0     0  1920 29139 174908 16  6 77  0  0  0
43  0 1840908 348412  34596 3477248    0    0     0  2056 29617 177880 13  7 80  0  0  0
46  0 1840908 424144  34596 3477328    0    0     0  1920 28378 174130 13  7 79  0  0  0
50  0 1840908 401760  34596 3477672    0    0     0  1920 27584 173410 13  7 80  0  0  0
22  0 1840908 389836  34628 3481192    0    0     0  2220 29203 175340 14  7 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
38  0 1840908 380564  34628 3481528    0    0     0  1976 27079 173658 13  7 80  0  0  0
49  0 1840908 385472  34628 3481828    0    0     0  1896 28094 168985 13  7 80  0  0  0
43  1 1840908 379488  34636 3478760    0    0     0  1928 26462 158932 13  7 80  0  0  0
34  0 1840908 379704  34644 3479032    0    0     0  1924 26555 158821 13  7 80  0  0  0
40  0 1840908 370836  34668 3479520    0    0     0  2164 28494 173008 13  7 80  0  0  0
44  0 1840908 368844  34668 3479868    0    0     0  1856 28680 176067 13  7 80  0  0  0
51  0 1840908 359740  34668 3480928    0    0     0  1848 28576 174678 13  7 80  0  0  0
52  0 1840908 418460  34668 3481104    0    0     0  1864 26791 172181 13  6 80  0  0  0
51  0 1840908 397364  34668 3480880    0    0     0  2024 29149 177333 14  7 79  0  0  0
51  0 1840908 388988  34684 3481140    0    0     0  2020 28145 173124 13  7 81  0  0  0
14  1 1840908 381684  34716 3481388    0    0     0  2004 28401 175271 12  8 80  0  0  0
38  0 1840908 378028  34716 3481692    0    0     0  1792 27318 173742 13  7 80  0  0  0
43  0 1840908 383108  34716 3481936    0    0     0  1880 28145 173168 13  7 80  0  0  0
37  0 1840908 384732  34716 3482272    0    0     0  2664 28681 175547 13  7 80  0  0  0
41  0 1840908 380920  34724 3482640    0    0     0  1920 28960 175179 12  7 81  0  0  0
50  0 1840908 370984  34732 3482700    0    0     0  1940 28937 174245 13  7 79  0  0  0
44  0 1840908 375616  34732 3483120    0    0     0  1816 29675 176940 13  7 80  0  0  0
