procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1840140 685856  94936 3375072    6   19   100   226 1918   29  4  2 93  0  0  0
51  0 1840140 645960  94944 3353892    0    0     0  2932 24328 126679 15  8 77  1  0  0
53  0 1840140 650228  94944 3351004    0    0     0     0 29746 181866 15  8 78  0  0  0
52  0 1840140 664428  94964 3344012    0    0     0   392 31949 181223 17  8 75  0  0  0
51  0 1840140 655900  94964 3354324    0    0     0   128 28986 178086 15  7 77  0  0  0
51  0 1840140 645408  94964 3364804    0    0     0     0 29368 178390 15  8 77  0  0  0
 1  0 1840140 649732  94972 3368056    0    0     0    20 30400 181393 15  7 77  0  0  0
52  0 1840140 665868  94972 3351852    0    0     0     0 29805 180660 15  7 77  0  0  0
53  0 1840140 676460  95012 3345732    0    0     0   332 27490 169261 21  8 71  0  0  0
52  0 1840140 568788  95028 3417372    0    0     0   216 30538 166829 29  7 64  0  0  0
52  0 1840140 603740  95044 3375292    0    0     0   828 29816 179881 17  8 76  0  0  0
50  0 1840140 604636  95044 3374244    0    0     0     8 29731 177762 16  7 77  0  0  0
51  0 1840140 579868  95052 3387376    0    0     0    24 30079 178692 18  7 74  0  0  0
51  0 1840140 581708  95052 3387820    0    0     0     0 31079 178780 18  7 75  0  0  0
52  0 1840140 619388  95052 3343856    0    0     0    84 27548 177257 16  7 77  0  0  0
52  0 1840140 602912  95060 3356140    0    0     0   872 29831 174628 17  8 75  0  0  0
52  0 1840140 617736  95060 3356308    0    0     0     0 28789 176212 16  8 76  0  0  0
53  0 1840140 625964  95060 3345100    0    0     0     0 30646 179017 17  7 75  0  0  0
52  0 1840140 632488  95068 3350052    0    0     0    80 29943 179618 16  8 76  0  0  0
52  0 1840140 630252  95076 3358520    0    0     0   172 29164 179059 16  8 76  0  0  0
51  0 1840140 618128  95076 3360796    0    0     0   316 30711 180922 16  7 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
55  2 1840140 634692  95076 3353220    0    0     0    12 31542 180217 18  8 74  0  0  0
52  0 1840140 667436  95092 3321608    0    0     0   164 30605 182806 15  8 77  0  0  0
52  0 1840140 691332  95092 3302220    0    0     8     0 29012 181092 15  7 79  0  0  0
51  0 1840140 695180  95100 3296820    0    0     0   324 29517 180720 20  8 73  0  0  0
51  0 1840140 703244  95100 3293644    0    0     0     0 30061 178570 16  8 76  0  0  0
51  0 1840140 672540  95100 3316852    0    0     0     0 29426 179805 17  7 76  0  0  0
52  0 1840140 681692  95108 3308632    0    0     0   224 30444 178149 17  8 75  1  0  0
51  0 1840140 661112  95108 3326228    0    0     0   408 31711 183356 17  7 75  0  0  0
54  0 1840140 659024  95116 3326684    0    0     8    28 30647 171399 22  7 70  0  0  0
51  0 1840140 653184  95116 3339756    0    0     0     0 31627 182237 17  7 76  0  0  0
52  0 1840140 665800  95116 3331724    0    0     0    20 29606 178696 15  8 77  0  0  0
