Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:20:23 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:24 PM IST  all    7.69    0.00    6.67    0.00    0.00    0.59    0.00    0.00    0.00   85.05
11:20:25 PM IST  all   13.62    0.00    5.96    0.00    0.00    1.53    0.00    0.00    0.00   78.89
11:20:26 PM IST  all   12.74    0.00    5.86    0.00    0.00    2.38    0.00    0.00    0.00   79.01
11:20:27 PM IST  all   13.54    0.00    4.94    0.09    0.00    2.47    0.00    0.00    0.00   78.96
11:20:28 PM IST  all   13.12    0.00    5.32    0.00    0.00    2.06    0.00    0.00    0.00   79.50
11:20:29 PM IST  all   13.37    0.00    5.92    0.00    0.00    1.86    0.00    0.00    0.00   78.85
11:20:30 PM IST  all   13.96    0.00    5.11    0.00    0.00    1.79    0.00    0.00    0.00   79.15
11:20:31 PM IST  all   13.77    0.00    4.62    0.00    0.00    2.14    0.00    0.00    0.00   79.47
11:20:32 PM IST  all   13.90    0.00    5.51    0.00    0.00    2.03    0.00    0.00    0.00   78.56
11:20:33 PM IST  all   12.85    0.00    6.34    0.00    0.00    2.11    0.00    0.00    0.00   78.70
11:20:34 PM IST  all   12.59    0.00    5.95    0.09    0.00    2.38    0.00    0.00    0.00   79.00
11:20:35 PM IST  all   13.62    0.00    5.80    0.00    0.00    2.19    0.00    0.00    0.00   78.39
11:20:36 PM IST  all   13.51    0.00    5.78    0.00    0.00    1.95    0.00    0.00    0.00   78.76
11:20:37 PM IST  all   12.98    0.00    5.04    0.00    0.00    2.31    0.00    0.00    0.00   79.68
11:20:38 PM IST  all   13.71    0.00    5.48    0.00    0.00    1.71    0.00    0.00    0.00   79.09
11:20:39 PM IST  all   13.25    0.00    5.35    0.00    0.00    2.21    0.00    0.00    0.00   79.18
11:20:40 PM IST  all   13.57    0.00    5.51    0.00    0.00    2.12    0.00    0.00    0.00   78.80
11:20:41 PM IST  all   13.05    0.00    6.57    0.00    0.00    2.27    0.00    0.00    0.00   78.11
11:20:42 PM IST  all   14.01    0.00    5.01    0.00    0.00    2.04    0.00    0.00    0.00   78.95
11:20:43 PM IST  all   13.53    0.00    5.45    0.00    0.00    1.96    0.00    0.00    0.00   79.06
11:20:44 PM IST  all   13.58    0.00    5.69    0.00    0.00    1.78    0.00    0.00    0.00   78.95
11:20:45 PM IST  all   13.22    0.00    5.42    0.00    0.00    2.46    0.00    0.00    0.00   78.90
11:20:46 PM IST  all   14.15    0.00    5.17    0.00    0.00    2.03    0.00    0.00    0.00   78.64
11:20:47 PM IST  all   12.43    0.00    5.79    0.09    0.00    2.13    0.00    0.00    0.00   79.57
11:20:48 PM IST  all   14.29    0.00    5.80    0.00    0.00    2.27    0.00    0.00    0.00   77.65
11:20:49 PM IST  all   14.39    0.00    5.17    0.00    0.00    1.78    0.00    0.00    0.00   78.66
11:20:50 PM IST  all   12.61    0.00    6.05    0.00    0.00    2.21    0.00    0.00    0.00   79.13
11:20:51 PM IST  all   13.92    0.00    5.52    0.00    0.00    2.12    0.00    0.00    0.00   78.44
11:20:52 PM IST  all   13.66    0.00    5.38    0.00    0.00    2.05    0.00    0.00    0.00   78.91
11:20:53 PM IST  all   12.19    0.00    6.44    0.00    0.00    2.37    0.00    0.00    0.00   79.00
11:20:54 PM IST  all   14.35    0.00    5.82    0.00    0.00    1.86    0.00    0.00    0.00   77.97
11:20:55 PM IST  all   13.73    0.00    5.85    0.00    0.00    1.86    0.00    0.00    0.00   78.56
11:20:56 PM IST  all   13.45    0.00    5.11    0.00    0.00    2.21    0.00    0.00    0.00   79.23
11:20:57 PM IST  all   13.74    0.00    5.56    0.08    0.00    2.19    0.00    0.00    0.00   78.41
11:20:58 PM IST  all   12.86    0.00    5.71    0.00    0.00    2.13    0.00    0.00    0.00   79.30
11:20:59 PM IST  all   13.46    0.00    5.06    0.00    0.00    1.89    0.00    0.00    0.00   79.59
11:21:00 PM IST  all   13.38    0.00    5.46    0.00    0.00    2.39    0.00    0.00    0.00   78.77
11:21:01 PM IST  all   13.25    0.00    5.64    0.00    0.00    1.71    0.00    0.00    0.00   79.40
11:21:02 PM IST  all   30.63    0.00    5.03    0.00    0.00    1.96    0.00    0.00    0.00   62.37
11:21:03 PM IST  all   13.20    0.00    5.96    0.00    0.00    1.87    0.00    0.00    0.00   78.96
11:21:04 PM IST  all   13.29    0.00    5.84    0.00    0.00    2.12    0.00    0.00    0.00   78.75
11:21:05 PM IST  all   13.75    0.00    4.58    0.00    0.00    2.46    0.00    0.00    0.00   79.20
11:21:06 PM IST  all   14.10    0.00    5.69    0.00    0.00    1.53    0.00    0.00    0.00   78.67
11:21:07 PM IST  all   13.77    0.00    6.08    0.00    0.00    2.03    0.00    0.00    0.00   78.12
11:21:08 PM IST  all   14.24    0.00    4.69    0.09    0.00    1.96    0.00    0.00    0.00   79.03
11:21:09 PM IST  all   13.89    0.00    5.42    0.00    0.00    1.95    0.00    0.00    0.00   78.75
11:21:10 PM IST  all   13.15    0.00    5.94    0.00    0.00    1.78    0.00    0.00    0.00   79.13
11:21:11 PM IST  all   13.96    0.00    5.36    0.00    0.00    2.04    0.00    0.00    0.00   78.64
11:21:12 PM IST  all   13.76    0.00    5.69    0.00    0.00    1.70    0.00    0.00    0.00   78.84
11:21:13 PM IST  all   13.66    0.00    5.43    0.00    0.00    2.04    0.00    0.00    0.00   78.88
11:21:14 PM IST  all   13.44    0.00    5.83    0.08    0.00    1.94    0.00    0.00    0.00   78.70
11:21:15 PM IST  all   13.17    0.00    5.73    0.00    0.00    2.14    0.00    0.00    0.00   78.96
11:21:16 PM IST  all   13.67    0.00    5.18    0.00    0.00    2.04    0.00    0.00    0.00   79.12
11:21:17 PM IST  all   13.24    0.00    5.52    0.00    0.00    2.12    0.00    0.00    0.00   79.12
11:21:18 PM IST  all   13.39    0.00    5.25    0.00    0.00    2.37    0.00    0.00    0.00   78.98
11:21:19 PM IST  all   12.82    0.00    5.64    0.00    0.00    2.48    0.00    0.00    0.00   79.06
11:21:20 PM IST  all   13.75    0.00    5.43    0.00    0.00    1.87    0.00    0.00    0.00   78.95
11:21:21 PM IST  all   13.95    0.00    5.66    0.00    0.00    2.11    0.00    0.00    0.00   78.28
11:21:22 PM IST  all   13.40    0.00    5.43    0.00    0.00    2.29    0.00    0.00    0.00   78.88
11:21:23 PM IST  all   12.78    0.00    6.22    0.00    0.00    2.21    0.00    0.00    0.00   78.79
11:21:24 PM IST  all   13.75    0.00    5.35    0.00    0.00    2.04    0.00    0.00    0.00   78.86
11:21:25 PM IST  all   13.10    0.00    5.70    0.00    0.00    2.13    0.00    0.00    0.00   79.08
11:21:26 PM IST  all   12.88    0.00    5.72    0.00    0.00    1.96    0.00    0.00    0.00   79.44
11:21:27 PM IST  all   13.58    0.00    5.12    0.00    0.00    1.96    0.00    0.00    0.00   79.33
