procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  3 1841164 621268  25244 3431276    6   19    99   308 2147   32  5  2 93  0  0  0
41  0 1841164 587076  25276 3430384    0    0   616  3388 13541 52738  8  3 63 25  0  0
45  0 1841164 622896  25300 3405176    0    0     0  2100 30881 177639 15  7 77  1  0  0
50  0 1841164 620456  25348 3397544   16    0   224  2044 29671 170494 20  7 72  0  0  0
49  0 1841164 659072  25348 3337884    0    0     0  1800 28877 171315 16  7 75  1  0  0
46  0 1841164 667128  25356 3331716    0    0     0  1944 28405 177686 15  7 78  1  0  0
51  0 1841164 731388  25356 3281200    0    0     0  9332 28897 176502 16  7 76  1  0  0
43  1 1841164 745100  25372 3238632    0    0     0  1920 29876 169488 25  7 67  0  0  0
38  0 1841164 772296  25380 3219272    0    0    20  2196 29170 170003 20  7 72  1  0  0
47  0 1841164 818228  25380 3188272    0    0     0  2040 27626 173040 15  7 78  1  0  0
51  0 1841164 1054988  25404 3062596   64    0   396  2144 30051 177486 17  7 75  0  0  0
45  0 1841164 1059968  25404 3064012    0    0     0  1800 29118 174927 16  8 76  1  0  0
45  0 1841164 1064488  25404 3057508    0    0     0  2512 27560 175621 13  7 79  1  0  0
48  0 1841164 1058864  25412 3047024    0    0     0  2016 30486 179915 16  7 77  1  0  0
42  0 1841164 1062648  25428 3050688    0    0     8  1964 30673 184386 15  7 78  0  0  0
47  0 1841164 1122372  25452 2993296    0    0   200  2224 30452 184139 17  8 75  0  0  0
47  0 1841164 1040068  25468 3027784    0    0     0  3760 29086 173823 24  8 68  0  0  0
61  0 1841164 969568  25468 2981068    0    0     4  1704 28343 165827 29 10 61  0  0  0
35  0 1841164 987992  25476 2991156    0    0     0  2180 32049 169190 18 12 70  0  0  0
48  0 1841164 785492  25584 3149960    0    0 10660  2324 30893 177328 19 10 69  1  0  0
44  0 1841164 783944  25600 3150628    0    0     0  2112 29588 183605 13  8 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
46  0 1841164 812392  25600 3123116    0    0     0  2896 29826 183565 15  7 78  0  0  0
47  0 1841164 809808  25608 3122596    0    0     0  4252 30199 184559 13  7 80  0  0  0
45  0 1841164 804696  25608 3121916    0    0     0  2628 29870 184670 13  7 79  0  0  0
52  0 1841164 801540  25884 3122492    0    0   336  2140 28346 182880 13  7 80  0  0  0
51  0 1841164 801472  25892 3123380    0    0     0  1940 29399 183710 13  7 80  0  0  0
54  0 1841164 775816  25892 3162176    0    0     0  1960 30106 181549 17  7 75  0  0  0
37  0 1841164 736304  25892 3210308    0    0     0  1896 29730 175324 16  7 76  1  0  0
44  0 1841164 742872  25892 3203660    0    0     8  1880 29748 182902 15  7 78  0  0  0
50  0 1841164 815728  25908 3213532    0    0     0  2116 28723 172093 23  6 71  0  0  0
18  1 1841164 841292  25916 3175676    0    0     0  1992 30021 184308 15  7 77  0  0  0
42  0 1841164 861800  25916 3173968    0    0     0  2072 29914 183883 14  7 79  0  0  0
53  0 1841164 859604  25916 3171340    0    0     0  2284 29578 182756 14  7 79  0  0  0
41  0 1841164 866788  25916 3164860    0    0     0  2388 28099 173919 15  6 78  0  0  0
43  0 1841164 873480  25924 3153004    0    0     0  2172 28491 176586 14  6 80  0  0  0
41  0 1841164 861120  25936 3170264    0    0     0  2188 29098 181505 14  6 79  0  0  0
44  0 1841164 868204  25944 3170580    0    0     0  2112 28749 182470 13  7 79  0  0  0
36  0 1841164 871916  25944 3169960    0    0     0  1940 30035 184591 13  7 79  0  0  0
49  0 1841164 865968  25960 3169328    0    0     0  2408 28271 183236 13  7 80  0  0  0
51  0 1841164 873512  25960 3159216    0    0     0  2032 28571 182439 13  7 79  0  0  0
50  0 1841164 875028  25968 3156624    0    0     0  2020 27534 181485 13  7 80  0  0  0
38  0 1841164 873004  25968 3154636    0    0     0  2168 30699 184879 16  7 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
35  0 1841164 870292  25984 3154568    0    0     0  2044 29681 184564 14  7 80  0  0  0
50  0 1841164 841796  25984 3181764    0    0     0  2028 29190 181181 15  7 78  0  0  0
49  0 1841164 835100  26000 3181356    0    0     0  2300 29162 182616 13  8 79  0  0  0
44  0 1841164 846636  26024 3180996    0    0     0  2080 28872 182409 15  7 78  0  0  0
38  0 1841164 848136  26024 3181436    0    0     0  2004 29064 183302 14  7 79  0  0  0
51  0 1841164 847848  26024 3181836    0    0     0  1944 28103 181390 14  7 79  0  0  0
54  0 1841164 848640  26024 3194500    0    0     0  1884 26632 155996 21  7 72  1  0  0
 1  1 1841164 852848  26024 3186344    0    0     0  1816 30534 177966 14  7 78  0  0  0
44  1 1841164 845264  26040 3186428    0    0     0  1912 30332 180006 14  7 79  0  0  0
49  0 1841164 852668  26040 3189980    0    0     0  1664 30125 176826 15  7 77  0  0  0
50  0 1841164 871552  26040 3177816    0    0     0  1728 29306 178073 15  7 79  0  0  0
42  0 1841164 863992  26040 3181524    0    0     0  1864 30050 179146 14  7 79  0  0  0
49  0 1841164 808212  26040 3224820    0    0     0  2088 29821 174916 16  8 76  0  0  0
51  0 1841164 774776  26056 3251476    0    0   112  1932 30697 175687 16  8 76  0  0  0
46  0 1841164 766380  26072 3268312    0    0     0  1928 29329 173759 15  8 77  0  0  0
51  0 1841164 784776  26072 3251412    0    0     0  1824 30497 178386 15  7 78  0  0  0
43  0 1841164 793280  26072 3238712    0    0     0  1840 31107 179316 14  7 79  0  0  0
51  0 1841164 790736  26072 3243088    0    0     0  1752 30887 180793 15  8 77  0  0  0
31  0 1841164 821172  26080 3253080    0    0     0  1860 29455 169718 15  8 78  0  0  0
39  0 1841164 772220  26088 3260576    0    0     0  2136 27148 156848 14  6 79  0  0  0
50  0 1841164 770184  26096 3249444    0    0     0  1888 30283 177446 15  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
50  0 1841164 767692  26096 3256496    0    0     0  1832 29987 177607 15  6 78  0  0  0
50  0 1841164 680948  26096 3293596  196    0   760  1744 30368 171459 20  7 72  1  0  0
47  0 1841164 741200  26116 3298184    0    0   192  2184 30345 183726 15  7 78  0  0  0
43  0 1841164 719032  26116 3289184    4    0    56  2008 29600 182390 13  7 79  0  0  0
51  0 1841164 711944  26164 3276412   20    0   104  2572 28657 176528 16  8 75  0  0  0
53  0 1841164 622688  26172 3295800   24    0   764  1800 31863 172288 24  9 66  1  0  0
53  0 1841164 593200  26316 3303800   68    0   444  3036 31195 173830 20  9 70  1  0  0
35  0 1841164 534624  26356 3314752   40    0   440  5228 33450 159501 31  9 59  1  0  0
50  0 1841164 491388  26372 3328940    8    0     8  1964 32873 165037 29  9 63  0  0  0
51  0 1841164 534500  26428 3320696    0    0     0  4612 31799 179556 18  8 74  0  0  0
49  0 1841164 551312  26428 3312816    0    0     0  2016 29512 178740 15  7 78  0  0  0
41  0 1841164 524272  26436 3324196    0    0     0  2172 30251 177827 16  7 76  1  0  0
39  0 1841164 529980  26468 3319524    0    0    16  2256 29883 183227 16  7 77  0  0  0
47  0 1841164 564420  26484 3301820    0    0     8  2184 28568 177635 15  7 78  0  0  0
51  0 1841164 564000  26532 3317016   68    0    72  3144 30396 174954 19  8 72  0  0  0
52  0 1840908 570924  26532 3313380    0    0     0  2112 29007 180594 16  6 78  0  0  0
51  0 1840908 562664  26532 3314800    0    0     0  2008 30430 180259 15  7 77  0  0  0
50  0 1840908 564280  26540 3315632    0    0     0  2160 27622 178231 14  6 79  0  0  0
