Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:15:12 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:15:13 PM IST  all    8.24    0.00    6.49    0.17    0.00    0.58    0.00    0.00    0.00   84.51
11:15:14 PM IST  all   14.33    0.00    5.09    0.00    0.00    1.78    0.00    0.00    0.00   78.80
11:15:15 PM IST  all   12.83    0.00    5.49    0.00    0.00    2.62    0.00    0.00    0.00   79.07
11:15:16 PM IST  all   14.01    0.00    4.44    0.00    0.00    2.31    0.00    0.00    0.00   79.25
11:15:17 PM IST  all   13.63    0.00    5.03    0.00    0.00    1.79    0.00    0.00    0.00   79.56
11:15:18 PM IST  all   13.65    0.00    4.61    0.00    0.00    2.22    0.00    0.00    0.00   79.52
11:15:19 PM IST  all   14.15    0.00    5.25    0.00    0.00    1.53    0.00    0.00    0.00   79.07
11:15:20 PM IST  all   12.76    0.00    5.10    0.00    0.00    2.30    0.00    0.00    0.00   79.85
11:15:21 PM IST  all   13.49    0.00    5.29    0.00    0.00    1.96    0.00    0.00    0.00   79.25
11:15:22 PM IST  all   13.15    0.00    5.73    0.00    0.00    2.19    0.00    0.00    0.00   78.92
11:15:23 PM IST  all   13.51    0.00    5.69    0.00    0.00    1.95    0.00    0.00    0.00   78.84
11:15:24 PM IST  all   13.26    0.00    4.79    0.09    0.00    1.88    0.00    0.00    0.00   79.98
11:15:25 PM IST  all   13.87    0.00    5.50    0.00    0.00    1.69    0.00    0.00    0.00   78.93
11:15:26 PM IST  all   13.71    0.00    5.67    0.00    0.00    1.86    0.00    0.00    0.00   78.76
11:15:27 PM IST  all   14.25    0.00    5.23    0.00    0.00    1.85    0.00    0.00    0.00   78.67
11:15:28 PM IST  all   12.76    0.00    5.87    0.00    0.00    1.62    0.00    0.00    0.00   79.76
11:15:29 PM IST  all   13.81    0.00    5.08    0.00    0.00    2.03    0.00    0.00    0.00   79.07
11:15:30 PM IST  all   13.24    0.00    5.60    0.00    0.00    2.04    0.00    0.00    0.00   79.12
11:15:31 PM IST  all   13.64    0.00    5.63    0.00    0.00    1.53    0.00    0.00    0.00   79.20
11:15:32 PM IST  all   13.67    0.00    5.35    0.00    0.00    1.87    0.00    0.00    0.00   79.12
11:15:33 PM IST  all   13.63    0.00    5.11    0.00    0.00    1.87    0.00    0.00    0.00   79.39
11:15:34 PM IST  all   13.76    0.00    5.57    0.00    0.00    1.86    0.00    0.00    0.00   78.82
11:15:35 PM IST  all   13.40    0.00    5.34    0.00    0.00    1.87    0.00    0.00    0.00   79.39
11:15:36 PM IST  all   13.14    0.00    5.20    0.00    0.00    2.22    0.00    0.00    0.00   79.44
11:15:37 PM IST  all   12.91    0.00    5.98    0.09    0.00    1.45    0.00    0.00    0.00   79.57
11:15:38 PM IST  all   13.00    0.00    5.52    0.00    0.00    1.87    0.00    0.00    0.00   79.61
11:15:39 PM IST  all   13.30    0.00    5.54    0.00    0.00    1.96    0.00    0.00    0.00   79.20
11:15:40 PM IST  all   13.11    0.00    5.53    0.00    0.00    1.87    0.00    0.00    0.00   79.49
11:15:41 PM IST  all   13.85    0.00    4.79    0.00    0.00    1.62    0.00    0.00    0.00   79.74
11:15:42 PM IST  all   13.32    0.00    5.94    0.00    0.00    1.87    0.00    0.00    0.00   78.88
11:15:43 PM IST  all   12.52    0.00    5.96    0.00    0.00    1.87    0.00    0.00    0.00   79.64
11:15:44 PM IST  all   13.46    0.00    5.20    0.00    0.00    1.87    0.00    0.00    0.00   79.47
11:15:45 PM IST  all   13.18    0.00    5.10    0.00    0.00    2.13    0.00    0.00    0.00   79.59
11:15:46 PM IST  all   13.22    0.00    5.51    0.00    0.00    2.29    0.00    0.00    0.00   78.98
11:15:47 PM IST  all   12.15    0.00    5.82    0.00    0.00    2.05    0.00    0.00    0.00   79.98
11:15:48 PM IST  all   13.06    0.00    6.45    0.00    0.00    1.95    0.00    0.00    0.00   78.54
11:15:49 PM IST  all   14.13    0.00    5.08    0.00    0.00    2.28    0.00    0.00    0.00   78.51
11:15:50 PM IST  all   13.30    0.00    5.06    0.00    0.00    1.72    0.00    0.00    0.00   79.91
11:15:51 PM IST  all   13.69    0.00    4.59    0.00    0.00    2.13    0.00    0.00    0.00   79.59
11:15:52 PM IST  all   13.06    0.00    5.90    0.00    0.00    2.02    0.00    0.00    0.00   79.02
11:15:53 PM IST  all   14.17    0.00    5.48    0.00    0.00    1.85    0.00    0.00    0.00   78.50
11:15:54 PM IST  all   12.65    0.00    5.38    0.00    0.00    2.14    0.00    0.00    0.00   79.83
11:15:55 PM IST  all   13.87    0.00    5.16    0.00    0.00    1.86    0.00    0.00    0.00   79.10
11:15:56 PM IST  all   13.06    0.00    5.43    0.00    0.00    2.54    0.00    0.00    0.00   78.97
11:15:57 PM IST  all   13.87    0.00    4.60    0.00    0.00    2.21    0.00    0.00    0.00   79.32
11:15:58 PM IST  all   13.47    0.00    5.20    0.00    0.00    1.79    0.00    0.00    0.00   79.54
11:15:59 PM IST  all   12.97    0.00    5.90    0.08    0.00    2.36    0.00    0.00    0.00   78.69
11:16:00 PM IST  all   13.04    0.00    5.80    0.09    0.00    1.71    0.00    0.00    0.00   79.37
11:16:01 PM IST  all   13.05    0.00    5.03    0.00    0.00    2.05    0.00    0.00    0.00   79.86
11:16:02 PM IST  all   12.68    0.00    5.62    0.00    0.00    2.30    0.00    0.00    0.00   79.40
11:16:03 PM IST  all   13.53    0.00    5.62    0.00    0.00    2.04    0.00    0.00    0.00   78.81
11:16:04 PM IST  all   13.86    0.00    5.10    0.09    0.00    1.87    0.00    0.00    0.00   79.08
11:16:05 PM IST  all   13.02    0.00    5.28    0.00    0.00    2.30    0.00    0.00    0.00   79.40
11:16:06 PM IST  all   13.50    0.00    5.09    0.00    0.00    2.12    0.00    0.00    0.00   79.29
11:16:07 PM IST  all   13.96    0.00    5.02    0.00    0.00    1.62    0.00    0.00    0.00   79.40
11:16:08 PM IST  all   13.94    0.00    5.41    0.00    0.00    1.86    0.00    0.00    0.00   78.80
11:16:09 PM IST  all   13.41    0.00    5.43    0.00    0.00    1.70    0.00    0.00    0.00   79.46
11:16:10 PM IST  all   13.69    0.00    5.44    0.00    0.00    1.62    0.00    0.00    0.00   79.25
11:16:11 PM IST  all   13.55    0.00    4.94    0.00    0.00    1.71    0.00    0.00    0.00   79.80
11:16:12 PM IST  all   13.26    0.00    5.65    0.00    0.00    1.97    0.00    0.00    0.00   79.13
11:16:13 PM IST  all   13.06    0.00    5.73    0.00    0.00    2.19    0.00    0.00    0.00   79.02
11:16:14 PM IST  all   13.47    0.00    4.75    0.00    0.00    2.71    0.00    0.00    0.00   79.07
11:16:15 PM IST  all   12.74    0.00    5.38    0.00    0.00    2.05    0.00    0.00    0.00   79.83
11:16:16 PM IST  all   13.54    0.00    5.23    0.00    0.00    1.80    0.00    0.00    0.00   79.43
11:16:17 PM IST  all   13.55    0.00    5.42    0.00    0.00    2.03    0.00    0.00    0.00   79.00
11:16:18 PM IST  all   13.19    0.00    5.75    0.00    0.00    2.03    0.00    0.00    0.00   79.04
11:16:19 PM IST  all   13.57    0.00    5.60    0.08    0.00    1.44    0.00    0.00    0.00   79.30
11:16:20 PM IST  all   14.55    0.00    4.68    0.00    0.00    1.62    0.00    0.00    0.00   79.15
11:16:21 PM IST  all   13.78    0.00    5.49    0.00    0.00    1.52    0.00    0.00    0.00   79.21
11:16:22 PM IST  all   14.24    0.00    5.08    0.00    0.00    1.95    0.00    0.00    0.00   78.73
11:16:23 PM IST  all   12.66    0.00    5.39    0.00    0.00    1.88    0.00    0.00    0.00   80.07
11:16:24 PM IST  all   13.51    0.00    5.44    0.00    0.00    1.95    0.00    0.00    0.00   79.10
11:16:25 PM IST  all   13.00    0.00    5.44    0.00    0.00    2.04    0.00    0.00    0.00   79.52
11:16:26 PM IST  all   13.07    0.00    5.26    0.00    0.00    2.12    0.00    0.00    0.00   79.54
11:16:27 PM IST  all   13.94    0.00    5.13    0.00    0.00    1.71    0.00    0.00    0.00   79.21
11:16:28 PM IST  all   12.82    0.00    5.86    0.00    0.00    2.04    0.00    0.00    0.00   79.29
11:16:29 PM IST  all   13.27    0.00    5.48    0.00    0.00    1.54    0.00    0.00    0.00   79.71
11:16:30 PM IST  all   14.39    0.00    5.33    0.08    0.00    1.35    0.00    0.00    0.00   78.83
11:16:31 PM IST  all   12.98    0.00    5.60    0.00    0.00    2.21    0.00    0.00    0.00   79.22
11:16:32 PM IST  all   16.91    0.00    5.12    0.43    0.00    1.96    0.00    0.00    0.00   75.58
11:16:33 PM IST  all   14.51    0.00    5.75    0.34    0.00    1.89    0.00    0.00    0.00   77.51
11:16:34 PM IST  all   13.98    0.00    5.29    0.43    0.00    1.79    0.00    0.00    0.00   78.52
11:16:35 PM IST  all   12.49    0.00    5.90    0.00    0.00    2.40    0.00    0.00    0.00   79.21
11:16:36 PM IST  all   13.64    0.00    5.49    0.00    0.00    1.46    0.00    0.00    0.00   79.42
11:16:37 PM IST  all   13.42    0.00    5.69    0.08    0.00    1.70    0.00    0.00    0.00   79.10
11:16:38 PM IST  all   13.83    0.00    5.60    0.00    0.00    2.12    0.00    0.00    0.00   78.46
11:16:39 PM IST  all   13.41    0.00    5.21    0.00    0.00    1.96    0.00    0.00    0.00   79.42
11:16:40 PM IST  all   13.21    0.00    5.93    0.08    0.00    1.78    0.00    0.00    0.00   79.00
11:16:41 PM IST  all   14.37    0.00    5.36    0.00    0.00    1.62    0.00    0.00    0.00   78.66
11:16:42 PM IST  all   13.09    0.00    5.39    0.00    0.00    2.05    0.00    0.00    0.00   79.47
11:16:43 PM IST  all   14.05    0.00    4.60    0.09    0.00    2.30    0.00    0.00    0.00   78.96
11:16:44 PM IST  all   13.45    0.00    5.19    0.00    0.00    2.38    0.00    0.00    0.00   78.98
11:16:45 PM IST  all   14.19    0.00    5.10    0.00    0.00    1.95    0.00    0.00    0.00   78.76
11:16:46 PM IST  all   13.91    0.00    5.43    0.00    0.00    1.87    0.00    0.00    0.00   78.80
11:16:47 PM IST  all   12.88    0.00    5.85    0.08    0.00    2.12    0.00    0.00    0.00   79.07
11:16:48 PM IST  all   13.36    0.00    5.53    0.00    0.00    1.79    0.00    0.00    0.00   79.32
11:16:49 PM IST  all   13.81    0.00    4.97    0.00    0.00    2.06    0.00    0.00    0.00   79.16
11:16:50 PM IST  all   12.81    0.00    5.72    0.00    0.00    2.05    0.00    0.00    0.00   79.42
11:16:51 PM IST  all   13.37    0.00    5.28    0.09    0.00    2.04    0.00    0.00    0.00   79.22
11:16:52 PM IST  all   13.40    0.00    5.85    0.00    0.00    1.78    0.00    0.00    0.00   78.97
11:16:53 PM IST  all   12.97    0.00    5.59    0.00    0.00    2.20    0.00    0.00    0.00   79.24
11:16:54 PM IST  all   12.96    0.00    5.71    0.00    0.00    1.88    0.00    0.00    0.00   79.45
11:16:55 PM IST  all   13.52    0.00    5.53    0.00    0.00    1.79    0.00    0.00    0.00   79.17
11:16:56 PM IST  all   14.47    0.00    4.99    0.00    0.00    1.78    0.00    0.00    0.00   78.76
11:16:57 PM IST  all   14.39    0.00    5.50    0.00    0.00    1.69    0.00    0.00    0.00   78.41
11:16:58 PM IST  all   13.27    0.00    5.27    0.00    0.00    2.21    0.00    0.00    0.00   79.25
11:16:59 PM IST  all   12.76    0.00    5.48    0.00    0.00    1.88    0.00    0.00    0.00   79.88
11:17:00 PM IST  all   13.45    0.00    4.97    0.00    0.00    2.06    0.00    0.00    0.00   79.52
11:17:01 PM IST  all   13.35    0.00    5.53    0.09    0.00    2.13    0.00    0.00    0.00   78.91
11:17:02 PM IST  all   13.89    0.00    5.59    0.17    0.00    1.95    0.00    0.00    0.00   78.41
11:17:03 PM IST  all   13.75    0.00    5.26    0.00    0.00    2.04    0.00    0.00    0.00   78.95
11:17:04 PM IST  all   14.37    0.00    5.49    0.00    0.00    1.69    0.00    0.00    0.00   78.44
11:17:05 PM IST  all   14.02    0.00    5.41    0.00    0.00    1.86    0.00    0.00    0.00   78.72
11:17:06 PM IST  all   13.45    0.00    5.67    0.00    0.00    2.12    0.00    0.00    0.00   78.76
11:17:07 PM IST  all   13.25    0.00    5.78    0.00    0.00    1.87    0.00    0.00    0.00   79.10
11:17:08 PM IST  all   13.30    0.00    5.29    0.00    0.00    2.13    0.00    0.00    0.00   79.28
11:17:09 PM IST  all   13.80    0.00    5.03    0.00    0.00    2.13    0.00    0.00    0.00   79.05
11:17:10 PM IST  all   12.47    0.00    5.21    0.00    0.00    2.56    0.00    0.00    0.00   79.76
11:17:11 PM IST  all   13.32    0.00    5.47    0.00    0.00    1.54    0.00    0.00    0.00   79.68
11:17:12 PM IST  all   13.23    0.00    5.63    0.00    0.00    1.71    0.00    0.00    0.00   79.44
11:17:13 PM IST  all   13.96    0.00    5.30    0.00    0.00    1.77    0.00    0.00    0.00   78.97
11:17:14 PM IST  all   13.95    0.00    5.75    0.00    0.00    1.78    0.00    0.00    0.00   78.53
11:17:15 PM IST  all   13.66    0.00    5.26    0.00    0.00    1.95    0.00    0.00    0.00   79.13
11:17:16 PM IST  all   13.83    0.00    5.26    0.00    0.00    2.04    0.00    0.00    0.00   78.88
11:17:17 PM IST  all   12.52    0.00    5.84    0.00    0.00    2.45    0.00    0.00    0.00   79.19
11:17:18 PM IST  all   13.44    0.00    5.33    0.00    0.00    2.37    0.00    0.00    0.00   78.87
11:17:19 PM IST  all   13.36    0.00    5.11    0.00    0.00    1.87    0.00    0.00    0.00   79.66
11:17:20 PM IST  all   13.33    0.00    5.77    0.00    0.00    1.61    0.00    0.00    0.00   79.29
11:17:21 PM IST  all   12.39    0.00    6.15    0.00    0.00    1.79    0.00    0.00    0.00   79.66
11:17:22 PM IST  all   13.86    0.00    5.58    0.00    0.00    1.86    0.00    0.00    0.00   78.70
11:17:23 PM IST  all   12.71    0.00    5.72    0.09    0.00    2.05    0.00    0.00    0.00   79.44
11:17:24 PM IST  all   12.40    0.00    5.65    0.00    0.00    2.65    0.00    0.00    0.00   79.30
11:17:25 PM IST  all   13.22    0.00    5.85    0.00    0.00    1.78    0.00    0.00    0.00   79.15
11:17:26 PM IST  all   14.07    0.00    4.49    0.00    0.00    1.95    0.00    0.00    0.00   79.49
11:17:27 PM IST  all   13.38    0.00    5.59    0.08    0.00    2.20    0.00    0.00    0.00   78.75
