procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 1840140 1489236  98468 2915936    6   19   100   226 1966   30  4  2 93  0  0  0
 9  1 1840140 1485064  98488 2942080    0    0     0 20268 21146 110026 13  7 79  2  0  0
 6  1 1840140 1402108  98552 3064540    0    0    64 13988 23139 111868 17 10 70  2  0  0
 4  1 1840140 1432892  98560 3023228    0    0     0 15108 19883 109613 10  6 82  2  0  0
 8  0 1840140 1421596  98584 3069144    0    0     0 16776 21340 109218 13  8 76  3  0  0
 0  1 1840140 1520112  98608 3042264    0    0     8 15480 18366 98690 10  5 82  3  0  0
 4  1 1840140 1487312  98616 3080252    4    0     4 13024 20276 103128 20  6 72  3  0  0
 5  1 1840140 1515560  98632 3034488    0    0     0 15292 19677 110624  8  5 84  2  0  0
 5  1 1840140 1526620  98632 3029112    0    0     0 15296 20022 111905 10  5 83  2  0  0
11  0 1840140 1469304  98632 3078616    0    0     0 14900 21159 112935 13  6 78  3  0  0
 5  1 1840140 1463000  98632 3081692    0    0     0 14424 20869 110546 11  6 80  2  0  0
 0  1 1840140 1479420  98640 3060844    0    0     0 14712 18992 108298 10  6 82  2  0  0
 0  1 1840140 1498720  98648 3047568    0    0     0 13808 20089 108752 11  6 80  3  0  0
 1  1 1840140 1505676  98648 3050348    0    0     8 14176 20868 112086 11  6 80  3  0  0
 5  1 1839116 1460408  98656 3102752  104    0   104 14828 21624 114214 14  6 77  2  0  0
 5  1 1839116 1473040  98656 3102768    0    0     0 14640 21360 113230 12  7 79  2  0  0
 5  1 1839116 1486184  98688 3083336    0    0     0 15632 19702 111661  9  6 83  2  0  0
 8  0 1839116 1485208  98688 3085072    0    0     0 14488 17872 104441  8  5 84  2  0  0
 6  1 1839116 1489368  98688 3086624    0    0     0 14168 17797 103223  9  5 83  2  0  0
 0  1 1839116 1485792  98688 3088400    0    0     0 13824 17486 101301  8  5 84  3  0  0
 6  1 1839116 1483668  98688 3090312    0    0     0 15060 18822 109487 10  5 83  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1 1839116 1484564  98704 3091872    0    0     0 15548 19274 110051  9  4 84  2  0  0
 7  1 1839116 1479944  98704 3094020    0    0     0 15336 19037 110142  9  5 84  2  0  0
 0  1 1839116 1478508  98704 3095944    0    0     0 15024 18730 108935  9  5 84  2  0  0
 2  1 1839116 1474576  98720 3098016    0    0     4 15156 18243 106016  9  5 83  2  0  0
 2  0 1839116 1473564  98720 3099664    0    0     8 13896 17637 102501  8  5 84  3  0  0
 5  1 1839116 1471100  98728 3101320    0    0     0 14988 17900 103888  8  5 84  3  0  0
10  0 1839116 1469936  98728 3103456    0    0     0 15524 19199 111394 10  5 83  2  0  0
 3  1 1839116 1470692  98736 3105584    0    0     0 15536 19347 110294 10  5 83  2  0  0
 6  1 1839116 1469392  98752 3107532    0    0     0 15632 19192 111246  9  6 83  2  0  0
 9  0 1839116 1466444  98752 3109416    0    0     0 14816 18622 107782  9  5 83  2  0  0
 7  1 1839116 1463500  98760 3111104    0    0     0 14280 18115 104201  8  5 85  2  0  0
 5  1 1839116 1458144  98760 3113064    0    0     0 14388 18009 102083  8  5 84  3  0  0
 0  1 1839116 1458916  98760 3114764    0    0     0 15412 19072 110188 10  6 83  2  0  0
 9  0 1839116 1455128  98768 3117012    0    0     0 15384 18940 109702  9  5 84  2  0  0
 8  0 1839116 1455176  98784 3118968    0    0     0 15760 19270 112123  9  6 83  2  0  0
12  0 1839116 1448672  98792 3120912    0    0     0 14948 18387 107927  9  6 83  2  0  0
 1  1 1839116 1430460  98792 3122796    0    0     0 14512 18186 104762  9  6 83  2  0  0
 5  1 1839116 1426316  98792 3124460    0    0     0 13376 18086 98585  9  5 84  2  0  0
 5  0 1839116 1426592  98792 3126956    0    0     0 14328 17792 103825  9  5 83  2  0  0
 8  1 1839116 1425916  98800 3128844    0    0     0 15516 19004 111021  8  6 84  2  0  0
 0  1 1839116 1419536  98808 3130772    0    0     0 15620 19659 111361 10  5 82  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1 1839116 1419176  98832 3132056    0    0     0 15524 19062 110666  8  5 84  2  0  0
 7  1 1839116 1420260  98832 3133976    0    0     0 14632 18384 106682  8  5 85  2  0  0
 1  1 1839116 1414444  98848 3135848    0    0     0 14300 18182 103845  9  6 83  3  0  0
 5  1 1839116 1414640  98848 3137760    0    0     0 14084 17797 103047  9  5 84  3  0  0
 4  1 1839116 1411440  98856 3139700    0    0     0 15276 18791 108990  9  5 84  2  0  0
 1  1 1839116 1412480  98856 3141828    0    0     0 15472 19041 110575  9  6 83  2  0  0
 4  1 1839116 1410816  98856 3143872    0    0     0 15480 19133 110683 10  5 83  2  0  0
 5  1 1839116 1409260  98864 3145784    0    0     0 15088 18887 109123  9  6 84  2  0  0
 7  1 1839116 1404976  98864 3147704    0    0     0 14604 17997 105378  9  5 84  2  0  0
 3  1 1839116 1403996  98872 3149544    0    0     0 13964 17406 101204  8  5 84  3  0  0
 7  1 1839116 1400760  98872 3151380    0    0     0 14800 18114 105428  9  5 83  2  0  0
 0  1 1839116 1401180  98872 3153224    0    0     0 15664 19312 111871  9  6 83  2  0  0
 5  1 1839116 1398888  98880 3155328    0    0     0 15276 19141 110206  9  5 83  2  0  0
 6  1 1839116 1399072  98880 3157272    0    0     0 15352 19248 110713  9  6 83  2  0  0
 6  1 1839116 1394536  98904 3159024    0    0     0 15320 18796 108442 10  6 82  2  0  0
 5  1 1839116 1395232  98904 3160976    0    0     0 13936 17588 101661  8  4 85  3  0  0
 5  1 1839116 1385728  98904 3162928    0    0     0 13992 17718 102364  8  5 84  3  0  0
 9  1 1839116 1386364  98904 3164924    0    0     0 15376 19128 110514  9  6 83  2  0  0
 6  1 1839116 1386200  98904 3167060    0    0     0 15472 19350 111651 10  5 83  2  0  0
 4  1 1839116 1386448  98920 3169384    0    0     0 15048 18854 107770 10  5 83  2  0  0
 6  1 1839116 1400336  98920 3150264    0    0     0 15188 18551 107599  9  6 83  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1 1839116 1395504  98920 3152412    0    0     0 14616 18364 106608  9  5 84  2  0  0
 0  1 1839116 1386884  98920 3153456    0    0     0 13976 17560 101166  8  5 84  3  0  0
 7  1 1839116 1361020  98936 3155940    0    0     0 14880 18617 107210 11  6 81  2  0  0
 8  1 1839116 1364576  98944 3158052    0    0     0 15832 19299 112165  8  6 84  2  0  0
 5  1 1839116 1369148  98944 3159948    0    0     0 15460 18891 109049  9  6 83  2  0  0
 5  1 1839116 1372788  98952 3162080    0    0     0 15400 19174 110077 10  5 83  2  0  0
 6  1 1839116 1369372  98968 3163748    0    0     0 15028 18588 107401 10  5 83  2  0  0
 5  1 1839116 1366836  98976 3165400    0    0     0 22428 17369 100196  8  6 83  3  0  0
 8  0 1839116 1367760  98984 3167264    0    0     0 14656 18118 105238  9  5 84  2  0  0
 4  1 1839116 1370440  98984 3169532    0    0     0 15656 19448 112575 10  6 82  2  0  0
 4  1 1839116 1372828  98984 3171924    0    0     0 15500 19152 110465 10  5 83  2  0  0
 0  1 1839116 1373128  98984 3173972    0    0     8 15464 19362 111834  9  6 82  2  0  0
 5  1 1839116 1369352  99000 3175568    0    0     0 19116 18505 107555  9  4 85  2  0  0
 0  1 1839116 1367840  99008 3177256    0    0     0 14008 18021 103919  9  6 83  3  0  0
 5  1 1839116 1362656  99008 3179100    0    0     0 14376 17813 103096  8  5 85  3  0  0
 5  1 1839116 1368908  99008 3181220    0    0     0 15348 19310 110962 10  5 83  2  0  0
 4  1 1839116 1363192  99008 3183216    0    0     0 15328 19106 110770  9  6 83  2  0  0
 3  1 1839116 1360268  99016 3185348    0    0     0 15596 19045 110735 10  5 83  2  0  0
 4  1 1839116 1358588  99024 3187480    0    0     0 14848 19085 108217  9  5 84  2  0  0
 1  1 1839116 1352588  99040 3189376    0    0     0 14872 17941 104770  8  5 85  2  0  0
 0  1 1839116 1351028  99040 3191208    0    0     0 13808 17452 101704  8  5 84  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
