Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:25:35 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:25:36 PM IST  all    9.29    0.00    3.63    2.79    0.00    1.35    0.00    0.00    0.00   82.94
11:25:37 PM IST  all    8.04    0.00    3.89    2.88    0.00    1.02    0.00    0.00    0.00   84.18
11:25:38 PM IST  all    9.01    0.00    3.62    2.78    0.00    1.01    0.00    0.00    0.00   83.57
11:25:39 PM IST  all    7.44    0.00    3.42    2.91    0.00    1.28    0.00    0.00    0.00   84.94
11:25:40 PM IST  all    8.36    0.00    3.63    2.62    0.00    1.60    0.00    0.00    0.00   83.78
11:25:41 PM IST  all    8.48    0.00    3.65    2.37    0.00    1.44    0.00    0.00    0.00   84.05
11:25:42 PM IST  all    8.74    0.00    3.65    2.46    0.00    1.36    0.00    0.00    0.00   83.80
11:25:43 PM IST  all    9.26    0.00    4.12    2.44    0.00    1.01    0.00    0.00    0.00   83.16
11:25:44 PM IST  all    7.52    0.00    3.59    2.74    0.00    1.03    0.00    0.00    0.00   85.13
11:25:45 PM IST  all    8.37    0.00    3.38    2.79    0.00    1.18    0.00    0.00    0.00   84.28
11:25:46 PM IST  all    9.29    0.00    3.46    2.36    0.00    1.60    0.00    0.00    0.00   83.28
11:25:47 PM IST  all    9.20    0.00    4.14    2.28    0.00    1.10    0.00    0.00    0.00   83.29
11:25:48 PM IST  all    9.41    0.00    3.22    2.29    0.00    1.27    0.00    0.00    0.00   83.80
11:25:49 PM IST  all    9.02    0.00    4.13    2.28    0.00    1.35    0.00    0.00    0.00   83.22
11:25:50 PM IST  all    8.58    0.00    4.29    2.44    0.00    1.18    0.00    0.00    0.00   83.52
11:25:51 PM IST  all    7.88    0.00    3.81    2.80    0.00    1.27    0.00    0.00    0.00   84.24
11:25:52 PM IST  all    7.81    0.00    3.00    2.66    0.00    1.12    0.00    0.00    0.00   85.41
11:25:53 PM IST  all    7.99    0.00    4.17    2.30    0.00    1.28    0.00    0.00    0.00   84.27
11:25:54 PM IST  all    9.28    0.00    4.09    2.04    0.00    1.11    0.00    0.00    0.00   83.48
11:25:55 PM IST  all    8.18    0.00    3.70    2.15    0.00    1.29    0.00    0.00    0.00   84.68
11:25:56 PM IST  all    9.66    0.00    4.37    2.18    0.00    0.92    0.00    0.00    0.00   82.87
11:25:57 PM IST  all    8.66    0.00    3.78    2.61    0.00    1.26    0.00    0.00    0.00   83.68
11:25:58 PM IST  all    8.55    0.00    4.02    2.60    0.00    1.76    0.00    0.00    0.00   83.07
