procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931436 1399488 105956 3301872    5   15   123   137 1200   19  3  2 95  0  0  0
 2  0 931436 1256948 105968 3308348    0    0     0  1400 10560 35912  9  8 82  0  0  0
11  0 931436 1259268 105984 3309248    0    0     0    88 13334 58508 17 11 72  0  0  0
14  0 931436 1255628 105984 3308944    0    0     0     0 13640 64181 16 11 72  0  0  0
20  0 931436 1256928 105984 3309444    0    0     0     0 13180 60224 16 13 71  0  0  0
30  0 931436 1246124 105984 3309816    0    0     0     0 13152 60986 18 11 71  0  0  0
 4  0 931436 1245712 105992 3309676    0    0     0    28 13955 65657 17 11 73  0  0  0
 7  0 931436 1251864 106000 3309388    0    0     0    16 11616 55224 17 11 72  0  0  0
19  0 931436 1248780 106000 3309716    0    0     0     0 13050 61158 17 11 73  0  0  0
 2  0 931436 1244632 106000 3309240    0    0     0     0 12805 62318 17 12 72  0  0  0
 2  0 931436 1254492 106000 3309224    0    0     0   408 12399 59501 16 12 72  0  0  0
 4  0 931436 1248264 106008 3309216    0    0     0    20 12635 61526 17 11 72  0  0  0
 4  0 931436 1250980 106016 3309316    0    0     0    20 14682 69523 16 11 73  0  0  0
14  0 931436 1240096 106016 3309636    0    0     0    12 12766 61327 16 11 73  0  0  0
13  0 931436 1241716 106016 3309676    0    0     0     0 14828 64345 17 11 72  0  0  0
 4  0 931436 1245864 106032 3309308    0    0     0   100 14085 65863 16 11 73  0  0  0
 4  0 931436 1243600 106032 3309416    0    0     0   100 12158 60165 17 11 72  0  0  0
 3  0 931436 1236856 106040 3309352    0    0     0    16 13595 63737 18 10 72  0  0  0
 1  0 931436 1240416 106040 3309640    0    0     0     0 13010 63026 16 11 73  0  0  0
 3  0 931436 1239880 106040 3310196    0    0     8    20 12536 59218 18 11 71  0  0  0
10  0 931436 1235016 106048 3309580    0    0     0    24 15123 71823 17 10 73  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 931436 1234312 106048 3309572    0    0     0   160 13994 65147 16 11 72  0  0  0
16  0 931436 1235832 106064 3309616    0    0     0   112 13166 63144 16 11 73  0  0  0
 2  0 931436 1234924 106072 3309520    0    0     0    24 12986 63451 16 12 72  0  0  0
11  0 931436 1238280 106072 3309840    0    0     0     0 13987 66334 16 10 74  0  0  0
 3  0 931436 1223164 106072 3309468    0    0     0     0 13803 66676 16 11 73  0  0  0
 5  0 931436 1222496 106072 3309552    0    0     0     0 13230 63722 17 10 72  0  0  0
 3  0 931436 1226592 106080 3309668    0    0     0    20 14565 70190 17 10 73  0  0  0
 5  0 931436 1224664 106088 3309660    0    0     0    16 14430 68339 17 12 71  0  0  0
14  0 931436 1230296 106104 3310364   16    0    16    92 12712 59700 16 12 72  0  0  0
 1  0 931436 1217068 106104 3310012    0    0     0     0 13321 64483 16 11 73  0  0  0
 4  0 931436 1218640 106104 3310140    0    0     0     0 12931 62468 16 11 73  0  0  0
 4  0 931436 1221000 106104 3309792    0    0     0     0 13075 61409 16 11 72  0  0  0
 5  0 931436 1219800 106112 3309772    0    0     0    16 13343 61889 16 11 73  0  0  0
 5  0 931436 1217016 106120 3309972    0    0     0    76 11701 55691 17 12 71  0  0  0
 4  0 931436 1215840 106120 3310164    0    0     0     0 14229 67963 16 11 73  0  0  0
 4  0 931436 1212948 106120 3310340    0    0     0     0 13265 65936 17 11 72  0  0  0
27  0 931436 1210304 106120 3310172    0    0     0     0 12299 59565 16 11 72  0  0  0
10  0 931436 1194652 106120 3310036    0    0     0     0 13340 63807 17 11 72  0  0  0
 3  0 931436 1192116 106136 3309896    0    0     0    40 14254 67561 17 11 73  0  0  0
 8  0 931436 1202920 106136 3310224   12    0    12     0 14300 67760 16 11 73  0  0  0
19  0 931436 1207268 106136 3309800    0    0     0   452 14868 69265 17 11 72  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 931436 1207852 106152 3309824    0    0     0    96 14629 69646 16 10 73  0  0  0
 3  0 931436 1207168 106152 3310020    0    0     0     0 14371 68380 17 11 73  0  0  0
 4  0 931436 1201000 106152 3310052    0    0     0     8 14376 67453 16 11 73  0  0  0
 2  0 931436 1203924 106160 3310324    0    0     0    24 12740 60735 16 11 72  0  0  0
