Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

10:54:24 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:23 PM IST  all   15.73    0.00    7.82    0.00    0.00    2.98    0.00    0.00    0.00   73.47
10:55:24 PM IST  all   16.50    0.00    8.33    0.00    0.00    3.28    0.00    0.00    0.00   71.89
10:55:25 PM IST  all   16.14    0.00    7.17    0.00    0.00    2.99    0.00    0.00    0.00   73.70
10:55:26 PM IST  all   16.28    0.00    7.46    0.08    0.00    2.88    0.00    0.00    0.00   73.28
10:55:27 PM IST  all   16.81    0.00    7.52    0.00    0.00    3.46    0.00    0.00    0.00   72.21
10:55:28 PM IST  all   18.93    0.00    8.03    0.00    0.00    3.55    0.00    0.00    0.00   69.48
10:55:29 PM IST  all   30.76    0.00    7.39    0.00    0.00    3.03    0.00    0.00    0.00   58.82
10:55:30 PM IST  all   16.45    0.00    7.46    0.08    0.00    3.05    0.00    0.00    0.00   72.94
10:55:31 PM IST  all   16.31    0.00    7.35    0.00    0.00    3.72    0.00    0.00    0.00   72.61
10:55:32 PM IST  all   16.30    0.00    7.60    0.00    0.00    3.21    0.00    0.00    0.00   72.89
10:55:33 PM IST  all   17.05    0.00    6.84    0.00    0.00    3.04    0.00    0.00    0.00   73.08
10:55:34 PM IST  all   15.88    0.00    7.65    0.00    0.00    4.12    0.00    0.00    0.00   72.35
10:55:35 PM IST  all   16.26    0.00    8.04    0.00    0.00    2.54    0.00    0.00    0.00   73.16
10:55:36 PM IST  all   16.93    0.00    8.26    0.00    0.00    2.70    0.00    0.00    0.00   72.11
10:55:37 PM IST  all   16.69    0.00    7.37    0.00    0.00    2.97    0.00    0.00    0.00   72.97
10:55:38 PM IST  all   16.00    0.00    7.11    0.00    0.00    3.73    0.00    0.00    0.00   73.16
10:55:39 PM IST  all   15.75    0.00    7.96    0.00    0.00    3.30    0.00    0.00    0.00   72.99
10:55:40 PM IST  all   16.95    0.00    7.20    0.00    0.00    2.71    0.00    0.00    0.00   73.14
10:55:41 PM IST  all   15.87    0.00    7.81    0.00    0.00    3.23    0.00    0.00    0.00   73.09
10:55:42 PM IST  all   16.04    0.00    7.47    0.00    0.00    2.72    0.00    0.00    0.00   73.77
10:55:43 PM IST  all   16.18    0.00    7.16    0.00    0.00    3.49    0.00    0.00    0.00   73.17
10:55:44 PM IST  all   16.92    0.00    7.66    0.00    0.00    2.78    0.00    0.00    0.00   72.64
10:55:45 PM IST  all   16.33    0.00    7.70    0.00    0.00    3.13    0.00    0.00    0.00   72.84
10:55:46 PM IST  all   16.17    0.00    7.62    0.00    0.00    3.05    0.00    0.00    0.00   73.16
10:55:47 PM IST  all   16.21    0.00    8.49    0.08    0.00    2.55    0.00    0.00    0.00   72.67
10:55:48 PM IST  all   17.56    0.00    8.11    0.00    0.00    3.09    0.00    0.00    0.00   71.24
10:55:49 PM IST  all   16.79    0.00    6.62    0.00    0.00    3.14    0.00    0.00    0.00   73.45
10:55:50 PM IST  all   16.43    0.00    8.00    0.00    0.00    2.44    0.00    0.00    0.00   73.13
10:55:51 PM IST  all   16.30    0.00    7.82    0.00    0.00    3.70    0.00    0.00    0.00   72.18
10:55:52 PM IST  all   16.37    0.00    7.89    0.00    0.00    3.19    0.00    0.00    0.00   72.54
10:55:53 PM IST  all   16.23    0.00    8.71    0.17    0.00    3.38    0.00    0.00    0.00   71.51
10:55:54 PM IST  all   16.99    0.00    7.53    0.00    0.00    3.60    0.00    0.00    0.00   71.88
10:55:55 PM IST  all   16.19    0.00    7.84    0.00    0.00    2.78    0.00    0.00    0.00   73.19
10:55:56 PM IST  all   17.12    0.00    7.08    0.00    0.00    3.37    0.00    0.00    0.00   72.43
10:55:57 PM IST  all   15.40    0.00    8.04    0.00    0.00    3.21    0.00    0.00    0.00   73.35
10:55:58 PM IST  all   16.98    0.00    7.30    0.00    0.00    3.23    0.00    0.00    0.00   72.50
10:55:59 PM IST  all   17.19    0.00    6.44    0.00    0.00    3.30    0.00    0.00    0.00   73.07
10:56:00 PM IST  all   15.93    0.00    8.01    0.00    0.00    2.90    0.00    0.00    0.00   73.17
10:56:01 PM IST  all   16.71    0.00    7.56    0.00    0.00    3.02    0.00    0.00    0.00   72.71
10:56:02 PM IST  all   15.78    0.00    7.59    0.00    0.00    3.41    0.00    0.00    0.00   73.21
10:56:03 PM IST  all   16.53    0.00    8.09    0.00    0.00    3.04    0.00    0.00    0.00   72.34
10:56:04 PM IST  all   15.62    0.00    8.02    0.08    0.00    3.80    0.00    0.00    0.00   72.47
10:56:05 PM IST  all   16.33    0.00    8.33    0.00    0.00    2.95    0.00    0.00    0.00   72.39
10:56:06 PM IST  all   16.11    0.00    8.05    0.00    0.00    3.27    0.00    0.00    0.00   72.57
10:56:07 PM IST  all   17.30    0.00    7.04    0.00    0.00    2.80    0.00    0.00    0.00   72.86
10:56:08 PM IST  all   16.20    0.00    6.87    0.00    0.00    3.22    0.00    0.00    0.00   73.71
10:56:09 PM IST  all   15.89    0.00    7.86    0.00    0.00    3.63    0.00    0.00    0.00   72.61
10:56:10 PM IST  all   15.19    0.00    8.35    0.00    0.00    3.29    0.00    0.00    0.00   73.16
