procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931436 611516 121868 4029656    5   15   121   183 1604   27  4  2 94  0  0  0
 0  1 931436 505356 121884 4035928    0    0     0   876 4633 16564  3  2 88  7  0  0
30  1 931436 512496 121884 4035980    8    0     8   808 4129 17258  2  1 90  7  0  0
 1  1 931436 511928 121884 4035956    0    0     0   784 3993 16397  2  1 90  7  0  0
 0  1 931436 506488 121884 4036384    0    0     0   808 4415 16916  2  1 89  7  0  0
17  0 931436 512980 121892 4036584    0    0     0  4760 12900 81882  7  4 85  3  0  0
42  0 931436 515596 121900 4036572    0    0     0  6760 17685 115501 10  6 83  1  0  0
50  0 931436 519272 121900 4036900    4    0     4  6688 17805 116382 10  6 83  1  0  0
41  0 931436 519960 121900 4036776    0    0     0  6960 17775 116433 11  5 83  1  0  0
 0  1 931436 518796 121900 4036364    0    0     0  6944 17232 113723 10  6 83  1  0  0
36  0 931436 518948 121908 4036404    0    0     0  6948 17799 116249 11  6 82  1  0  0
42  1 931436 519132 121916 4036452    0    0     8  7120 18239 118598 11  6 83  1  0  0
43  0 931436 520028 121916 4036508    0    0     0  6896 17743 115945 10  6 83  1  0  0
39  0 931436 525700 121916 4036548    0    0     0  6800 18101 116839 11  6 83  1  0  0
46  0 931436 526964 121932 4036392    0    0     0  6984 18134 118045 11  6 82  1  0  0
30  0 931436 525412 121932 4036516    0    0     0  7108 18204 119358 10  6 83  1  0  0
 2  1 931436 528572 121940 4036564    0    0     0  6956 17277 116466 10  6 83  1  0  0
 4  0 931436 528268 121940 4036608    0    0     0  7040 17851 117809 11  6 83  1  0  0
 7  0 931436 523968 121988 4037040    0    0     0 13660 17824 117240 11  5 83  1  0  0
15  0 931436 521928 121996 4036972    0    0     0  7376 18117 118960 11  6 83  1  0  0
40  0 931436 522140 121996 4037088    0    0     0  6944 17441 115837 10  6 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 931436 509804 121996 4037088    0    0     0  7124 18318 119461 12  6 82  1  0  0
41  0 931436 509508 121996 4037088    0    0     0  7184 17499 117361 10  6 83  1  0  0
28  0 931436 509012 122004 4037088    0    0     0  7452 17886 117933 11  5 83  1  0  0
29  1 931436 507860 122012 4037084    0    0     0  7104 18192 119292 10  6 83  1  0  0
35  0 931436 509228 122012 4037192    0    0     0  7024 18394 119307 11  6 82  1  0  0
20  0 931436 515548 122012 4037456    0    0     0  7344 18333 118281 11  6 82  1  0  0
44  0 931436 515224 122028 4037560    0    0     0  7684 18463 118256 11  6 82  1  0  0
26  0 931436 505636 122036 4037616    0    0     0  7028 17637 115326 11  6 83  1  0  0
14  1 931436 514708 122036 4038356    0    0     0 10760 19698 123705 11  5 83  0  0  0
 0  1 931436 516100 122036 4038612    0    0     0  7108 17785 117590 11  6 83  1  0  0
25  0 931436 513340 122036 4038540    0    0     0  7116 17284 115629 11  5 83  1  0  0
15  1 931436 515604 122044 4038576    0    0     0  7356 17890 118335 11  6 82  1  0  0
44  0 931436 514984 122052 4038612    0    0     0  7124 18125 118800 11  6 83  1  0  0
29  0 931436 520324 122052 4038584    0    0     0  7152 17750 117668 10  6 83  1  0  0
 4  1 931436 520920 122052 4038728    0    0     0  7120 17797 118733 11  5 83  1  0  0
50  0 931436 521712 122052 4038768    0    0     0  7408 17847 118255 11  5 83  1  0  0
42  0 931436 515444 122084 4038788    0    0     0  7460 18184 118823 10  6 83  1  0  0
16  0 931436 514996 122092 4038860    0    0     0  7184 18283 118429 11  6 83  1  0  0
43  0 931436 515776 122092 4039060    0    0     0  7320 18252 118652 12  6 81  1  0  0
42  0 931436 515408 122124 4039140    0    0     0  7432 17853 118474 11  6 83  1  0  0
49  0 931436 516512 122140 4039180    0    0     0  7180 17755 118203 11  6 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
25  0 931436 516176 122140 4039220    0    0     0  7384 17768 118520 12  5 83  1  0  0
40  0 931436 511888 122148 4039112    0    0     0  7148 18019 118980 10  6 83  1  0  0
47  0 931436 508556 122148 4039108    0    0     0  6928 17900 117481 11  5 83  1  0  0
 5  1 931436 510112 122148 4039260    0    0     0  7344 17491 117300 10  6 83  1  0  0
42  0 931436 501780 122156 4039908    0    0     0  6964 17959 118517 10  5 84  1  0  0
33  0 931436 503344 122156 4040076    0    0     0  6920 18063 119341 11  6 83  1  0  0
30  0 931436 499708 122164 4039424    0    0     0  7312 16528 114383 11  6 82  1  0  0
45  0 931436 502176 122164 4039516    0    0     0  7120 17347 115517 10  6 83  1  0  0
35  1 931436 502008 122164 4039556    0    0     0  7120 18222 119277 11  6 82  1  0  0
41  0 931436 503728 122172 4039604    0    0     0  8264 17823 118564 11  6 82  1  0  0
41  0 931436 501384 122172 4039844    0    0     0  7128 18100 118771 10  6 83  1  0  0
37  0 931436 500232 122180 4039892    0    0     0  6960 18158 117063 11  6 82  1  0  0
49  0 931436 499100 122196 4039968    0    0     0  7188 18039 119309 11  6 83  1  0  0
 0  1 931436 499324 122196 4040020    0    0     0  7408 17791 117879 11  5 83  1  0  0
41  0 931436 490916 122196 4040296    0    0     0  7344 18263 120499 11  6 82  1  0  0
49  0 931436 494308 122196 4040168    0    0     0  7048 17855 118263 11  5 83  1  0  0
23  0 931436 494560 122204 4040240    0    0     0  7676 18331 120276 10  6 83  1  0  0
28  0 931436 497276 122212 4040280    0    0     0  6992 17817 117597 11  6 83  1  0  0
54  0 931436 496288 122212 4040408    0    0     0  7064 17660 116598 11  5 82  1  0  0
25  0 931436 490804 122212 4040404    0    0     0  7120 17279 116357 11  6 82  1  0  0
 7  1 931436 489868 122212 4040448    0    0     0  6964 16895 114881 10  5 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1 931436 487948 122220 4040552    0    0     0  6988 17770 119041 11  5 83  1  0  0
28  1 931436 488484 122228 4040864    0    0     0  6936 17316 116722 11  6 83  1  0  0
42  0 931436 492400 122228 4041024    0    0     0  7288 18044 117617 11  6 83  1  0  0
45  0 931436 490260 122228 4041064    0    0     0  7328 17984 118171 12  5 82  1  0  0
13  1 931436 489996 122244 4040812    0    0     0  7116 18181 119795 11  5 83  1  0  0
44  0 931436 488304 122252 4040764    0    0     0  7404 17716 117653 11  6 83  1  0  0
49  0 931436 481940 122252 4040808    0    0     0  7080 17766 118416 12  6 82  1  0  0
10  1 931436 480732 122252 4040848    0    0     0  6960 17719 117770 11  6 83  1  0  0
23  0 931436 476940 122252 4040804    0    0     0  7560 17957 118849 11  6 82  1  0  0
53  0 931436 479616 122260 4040980    0    0     8  7056 18408 120693 11  5 82  1  0  0
11  0 931436 478144 122268 4041564    0    0    16  7232 17035 116506 11  6 82  1  0  0
30  0 931436 479068 122268 4041604    0    0     0  7360 17824 118384 11  6 82  1  0  0
48  0 931436 481684 122268 4041160    0    0     0  7016 18057 119155 11  5 82  1  0  0
43  0 931436 483056 122268 4041212    0    0     0  7376 17980 117573 10  6 83  1  0  0
32  0 931436 485340 122276 4041244    0    0     0  7392 17863 118488 10  6 83  1  0  0
 5  0 931436 484964 122284 4041476    0    0     0  7008 17258 115966 11  5 82  1  0  0
 0  1 931436 488424 122284 4041380    0    0     0  6888 18219 116606 10  6 83  1  0  0
51  0 931436 489408 122300 4041428    0    0     0  7072 17648 118161 11  5 83  1  0  0
24  1 931436 488940 122300 4041488    0    0     0  7512 17834 117906 11  6 83  1  0  0
