procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0 2058440 533748  48012 3337256    0    0     8   104 23966 111374 14 10 76  0  0  0
22  0 2058440 543812  48012 3335320    0    0     0     0 24374 113798 14  9 77  0  0  0
 7  0 2058440 524452  48012 3340612    0    0     0   264 23590 109822 13  9 77  0  0  0
14  0 2058440 514384  48012 3341384    0    0     0     0 23034 109849 14  9 77  0  0  0
20  0 2058440 528924  48020 3338328    0    0     0    24 23317 106204 12  9 79  0  0  0
37  1 2058440 509808  48032 3338320    0    0     0   304 22822 106867 13  9 78  0  0  0
11  0 2058440 522656  48032 3332644    0    0     0   148 24127 106759 23 10 67  0  0  0
 0  0 2058440 569228  48032 3360336    0    0     0    24 10752 47951  8  5 88  0  0  0
 0  0 2058440 568832  48032 3363932    0    0     0     0 1871 4018  2  0 98  0  0  0
 0  0 2058440 586852  48032 3347212    0    0     0   256 1341 2437  0  1 99  0  0  0
 0  0 2058440 573268  48048 3357692    0    0     0    92  853 1158  1  0 99  0  0  0
 0  0 2058440 570628  48056 3354700    0    0     0   280 1443 2189  1  0 99  0  0  0
 0  0 2058440 566060  48072 3354052    0    0     0   376 1098 1710  1  0 99  0  0  0
 0  0 2058440 566956  48072 3351776    0    0     0     0  663  844  1  0 99  0  0  0
 0  0 2058440 582416  48072 3331544    0    0     0     0  759 1147  1  0 99  0  0  0
 1  0 2058440 584944  48080 3332152    0    0     0   280 1329 2097  1  0 99  0  0  0
 1  0 2058440 587304  48080 3332240    0    0     0     0  796 1085  0  1 99  0  0  0
 0  0 2058440 585048  48088 3331928    0    0     0    20  982 1531  1  0 99  0  0  0
 0  0 2058440 582108  48088 3332140    0    0     0   256  597  604  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 2058440 589428  48088 3332588    0    0     0     0  785 1013  1  0 99  0  0  0
 0  0 2058440 590744  48096 3333688    0    0     0    80 1131 1640  1  0 99  0  0  0
 0  0 2058440 592588  48096 3330720    0    0     0   300 1286 1651  1  1 98  0  0  0
 0  0 2058440 585488  48112 3330280    0    0     0   264  626  703  0  0 99  0  0  0
 0  0 2058440 594420  48112 3326452    0    0     0     0  681  818  0  0 99  0  0  0
 0  0 2058440 596848  48112 3332692    0    0     0     0 1077 1530  1  0 99  0  0  0
 0  0 2058440 595964  48136 3332708    0    0     0   380 1168 1795  0  0 99  0  0  0
 0  0 2058440 593204  48136 3332812    0    0     0   404  846 1011  0  0 99  0  0  0
 0  0 2058440 589424  48136 3333064    0    0     0     8  567  648  0  0 99  0  0  0
 0  0 2058440 589828  48136 3333392    0    0     0   256 1100 1527  1  0 99  0  0  0
 0  0 2058440 587172  48136 3331600    0    0     0     0  871 1172  1  0 99  0  0  0
 0  0 2058440 590940  48152 3330980    0    0     0    84 1300 2083  1  0 98  0  0  0
 0  0 2058440 590604  48160 3331248    0    0     0   364  960 1249  1  0 99  0  0  0
51  0 2058440 481404  48160 3341796    0    0     0  5308 12587 25854  3  3 93  0  0  0
 7  0 2058440 484688  48160 3345380    0    0     0  7524 20388 114164 12  6 82  1  0  0
51  0 2058440 479352  48160 3337744    0    0     0  6856 20139 116099 10  6 83  1  0  0
40  0 2058440 470900  48168 3334568    0    0     0  6804 21170 118104 11  7 82  1  0  0
