Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:41:06 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:05 PM IST  all   10.42    0.00    4.01    0.68    0.00    1.71    0.00    0.00    0.00   83.18
11:42:06 PM IST  all   11.90    0.00    4.53    0.75    0.00    1.34    0.00    0.00    0.00   81.48
11:42:07 PM IST  all   11.29    0.00    5.10    0.84    0.00    1.34    0.00    0.00    0.00   81.44
11:42:08 PM IST  all    9.85    0.00    4.07    1.27    0.00    1.44    0.00    0.00    0.00   83.36
11:42:09 PM IST  all   10.68    0.00    4.49    0.68    0.00    1.61    0.00    0.00    0.00   82.54
11:42:10 PM IST  all   10.70    0.00    4.50    1.27    0.00    1.53    0.00    0.00    0.00   82.00
11:42:11 PM IST  all   11.37    0.00    4.47    0.67    0.00    1.43    0.00    0.00    0.00   82.06
11:42:12 PM IST  all   10.93    0.00    4.83    0.68    0.00    1.53    0.00    0.00    0.00   82.03
11:42:13 PM IST  all   11.40    0.00    4.39    0.68    0.00    1.35    0.00    0.00    0.00   82.18
11:42:14 PM IST  all   10.14    0.00    4.60    0.68    0.00    1.45    0.00    0.00    0.00   83.13
11:42:15 PM IST  all   11.49    0.00    4.05    0.68    0.00    1.52    0.00    0.00    0.00   82.26
11:42:16 PM IST  all   11.53    0.00    4.38    0.76    0.00    1.35    0.00    0.00    0.00   81.99
11:42:17 PM IST  all   10.85    0.00    4.24    0.68    0.00    1.27    0.00    0.00    0.00   82.97
11:42:18 PM IST  all   11.59    0.00    4.23    0.68    0.00    1.44    0.00    0.00    0.00   82.06
11:42:19 PM IST  all   10.74    0.00    4.40    0.76    0.00    1.44    0.00    0.00    0.00   82.66
11:42:20 PM IST  all   11.43    0.00    3.98    0.85    0.00    1.35    0.00    0.00    0.00   82.39
11:42:21 PM IST  all   11.65    0.00    4.78    0.67    0.00    1.26    0.00    0.00    0.00   81.64
11:42:22 PM IST  all   10.60    0.00    4.50    0.76    0.00    1.44    0.00    0.00    0.00   82.70
11:42:23 PM IST  all   11.55    0.00    3.71    0.84    0.00    1.69    0.00    0.00    0.00   82.21
11:42:24 PM IST  all   11.51    0.00    4.31    0.42    0.00    1.52    0.00    0.00    0.00   82.23
11:42:25 PM IST  all   11.18    0.00    4.66    0.68    0.00    1.61    0.00    0.00    0.00   81.88
11:42:26 PM IST  all   11.00    0.00    4.70    0.84    0.00    1.34    0.00    0.00    0.00   82.12
11:42:27 PM IST  all   10.28    0.00    4.76    0.59    0.00    1.61    0.00    0.00    0.00   82.75
11:42:28 PM IST  all   10.90    0.00    4.23    0.68    0.00    1.69    0.00    0.00    0.00   82.50
11:42:29 PM IST  all   11.26    0.00    3.75    0.60    0.00    1.37    0.00    0.00    0.00   83.02
11:42:30 PM IST  all   10.32    0.00    4.23    0.76    0.00    2.12    0.00    0.00    0.00   82.57
11:42:31 PM IST  all   11.50    0.00    4.53    0.67    0.00    1.18    0.00    0.00    0.00   82.12
11:42:32 PM IST  all   11.20    0.00    4.50    0.68    0.00    1.36    0.00    0.00    0.00   82.27
11:42:33 PM IST  all   11.13    0.00    4.13    0.67    0.00    1.69    0.00    0.00    0.00   82.38
11:42:34 PM IST  all   11.05    0.00    3.91    0.68    0.00    1.53    0.00    0.00    0.00   82.84
11:42:35 PM IST  all   11.02    0.00    4.41    0.93    0.00    1.36    0.00    0.00    0.00   82.29
11:42:36 PM IST  all   10.79    0.00    4.25    0.68    0.00    1.53    0.00    0.00    0.00   82.75
11:42:37 PM IST  all   11.41    0.00    3.80    0.68    0.00    1.44    0.00    0.00    0.00   82.67
