procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 1840140 704276  88264 3267040    6   19   100   226 1775   27  4  2 93  0  0  0
52  0 1840140 672896  88272 3249980    0    0     0  2936 28021 161238 14  7 79  0  0  0
51  0 1840140 701472  88308 3230128    0    0     0   332 30640 192283 15  6 78  0  0  0
29  0 1840140 705356  88308 3230144    0    0     0     0 28629 190399 14  7 79  0  0  0
51  0 1840140 699780  88316 3233908    0    0     0   528 28344 189362 14  7 79  0  0  0
50  0 1840140 707732  88316 3232844    0    0     0     8 27981 189882 14  7 79  0  0  0
51  0 1840140 707748  88332 3231412    0    0     0   332 30452 194473 13  8 79  0  0  0
51  0 1840140 712592  88332 3227516    0    0     0     0 29184 191419 14  7 80  0  0  0
50  0 1840140 705684  88332 3232996    0    0     0     0 29936 191495 14  7 79  0  0  0
56  0 1840140 658636  88332 3267636    0    0     0     0 29717 185071 17  7 76  0  0  0
52  0 1840140 610140  88332 3318108    0    0     0   360 29189 179733 22  8 70  0  0  0
55  0 1840140 890760  88348 3286780    0    0     0    76 30393 181939 22  9 69  0  0  0
52  0 1840140 1036160  88404 3265092    0    0     4  9712 29954 178081 18  8 73  1  0  0
55  0 1840140 1175012  88404 3131284    0    0     0  9704 32598 194282 15  7 76  1  0  0
52  0 1840140 1197256  88420 3116720    0    0     0   156 29916 191330 15  7 77  1  0  0
51  0 1840140 1201656  88420 3106816    0    0     0  1056 29755 192469 13  8 79  0  0  0
52  0 1840140 1204412  88432 3101152    0    0    12     0 29879 191294 13  8 79  0  0  0
50  0 1840140 1094492  88440 3205040    0    0     0    36 29944 190070 15  7 77  0  0  0
51  2 1840140 1126868  88440 3171412    0    0     0  8192 29301 185084 18  8 74  0  0  0
49  0 1840140 1198508  88456 3100984    0    0     0   192 29548 191785 14  7 79  0  0  0
54  0 1840140 1224220  88456 3079636    0    0     0    36 29607 191999 13  7 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  0 1840140 1228948  88472 3078672    0    0     0   476 29806 193174 15  7 77  0  0  0
52  2 1840140 1230140  88472 3083064    0    0     0     0 29542 189897 14  8 78  0  0  0
50  0 1840140 1072128  88480 3224348    0    0     0    20 29265 180320 17  9 74  0  0  0
 1  0 1840140 1113452  88480 3170900    0    0     0    56 30823 189686 14  8 77  1  0  0
46  0 1840140 1183024  88480 3111716    0    0     0     8 30411 193052 15  6 78  0  0  0
49  0 1840140 1199828  88588 3106612    0    0   100   288 31297 191990 15  7 77  0  0  0
52  0 1840140 1191600  88620 3112384    0    0     0   256 30618 184373 16  7 76  1  0  0
53  0 1840140 1185288  88620 3111516    0    0    12     0 30433 190280 15  7 78  0  0  0
51  0 1840140 1190928  88644 3100316    0    0   276   140 28321 187836 13  7 79  0  0  0
53  0 1840140 1209552  88644 3093344    0    0     0     0 30304 193061 14  7 79  0  0  0
51  2 1840140 1210304  88644 3091440    0    0     0   216 29805 188386 16  6 77  0  0  0
53  0 1840140 1214028  88652 3091804    0    0     0   244 30261 190350 14  7 78  0  0  0
26  2 1840140 1211512  88660 3092232    0    0     0   184 29480 187936 16  7 76  0  0  0
50  0 1840140 1210216  88660 3091988    0    0     0     0 27828 188114 14  7 78  0  0  0
52  0 1840140 1214812  88668 3088988    0    0     0    44 29440 192925 13  7 80  0  0  0
45  2 1840140 1214824  88684 3095540    0    0     0  8556 31116 186516 18  8 74  1  0  0
52  0 1840140 1222536  88684 3087272    0    0     0   116 29838 182086 17  7 75  0  0  0
 7  2 1840140 1215976  88684 3085096    0    0     0     0 30938 184847 15  7 77  1  0  0
 8  0 1840140 1134300  88684 3154184    0    0     0     0 30880 195632 23  8 69  0  0  0
