procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  2 931436 1351824 104484 3315704    5   15   124   137 1145   19  3  2 95  0  0  0
49  0 931436 1270864 104484 3315468    0    0     0  1288 9525 40205  8  8 84  0  0  0
 5  0 931436 1254948 104484 3310436    0    0     0     0 19577 94734 14 11 75  0  0  0
38  0 931436 1271288 104484 3285676    0    0     0     0 20271 105322 15 10 75  0  0  0
16  0 931436 1269236 104512 3302776    0    0     0   212 20937 107276 16 11 73  0  0  0
23  0 931436 1271404 104512 3302760    0    0     0     0 22158 114911 15 10 76  0  0  0
40  0 931436 1279708 104512 3283408    0    0     0     0 20027 105705 15 10 75  0  0  0
 2  0 931436 1264224 104520 3283464    0    0     0   552 21198 108802 15 10 75  0  0  0
33  0 931436 1282508 104520 3283416    0    0     0     0 21508 107767 15 12 73  0  0  0
33  0 931436 1274400 104536 3283120    0    0     0   112 19700 103045 15 10 75  0  0  0
19  0 931436 1274748 104544 3283292    0    0     0    52 20861 107876 14 11 75  0  0  0
32  0 931436 1268712 104544 3283260    0    0     0     0 21780 112582 15 10 75  0  0  0
48  0 931436 1269080 104544 3283324    0    0     0    56 21585 110932 15 10 75  0  0  0
 7  0 931436 1265464 104544 3283448    0    0     0   256 20311 105047 15 10 75  0  0  0
 1  0 931436 1277656 104552 3283952    0    0     0   208 19410 89345 33 10 57  0  0  0
22  0 931436 1281928 104552 3283672    0    0     0    32 21113 109275 15 10 74  0  0  0
19  0 931436 1271904 104560 3283524    0    0     0    24 22413 115200 16 10 74  0  0  0
 9  0 931436 1266588 104560 3283392    0    0     0     0 21693 112964 16  9 75  0  0  0
 5  0 931436 1268900 104560 3283380    0    0     0   196 20913 108036 15 10 75  0  0  0
32  0 931436 1266876 104568 3283372    0    0     0   216 23473 118132 15 10 75  0  0  0
 6  0 931436 1267816 104568 3283880    0    0     0     0 21694 110990 16 10 74  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0 931436 1282024 104576 3283904    0    0     0    20 22344 112309 15 10 75  0  0  0
 5  0 931436 1272080 104576 3284288    0    0     0     0 22582 114063 14 11 75  0  0  0
12  0 931436 1290872 104592 3284132    0    0     0   100 22114 112569 15 11 74  0  0  0
 3  0 931436 1281692 104592 3283532    0    0     0   252 21971 110344 14 11 75  0  0  0
14  0 931436 1277060 104592 3283760    0    0     0     0 21246 108915 15 10 75  0  0  0
13  0 931436 1288932 104600 3283816    0    0     0    20 21264 109776 14 11 75  0  0  0
17  0 931436 1296760 104600 3283556    0    0     0     0 22815 116626 16 10 74  0  0  0
42  0 931436 1297076 104608 3283632    0    0     0    32 21557 111085 15 10 75  0  0  0
41  0 931436 1296768 104624 3283644    0    0     8   440 22174 112873 14 10 76  0  0  0
 4  0 931436 1276268 104624 3283948    0    0     0     0 21285 108816 14 11 75  0  0  0
23  0 931436 1315608 104624 3283912    0    0     0     0 22238 112116 15 10 74  0  0  0
 1  0 931436 1284772 104632 3283920    0    0     0    28 21793 110686 15 10 75  0  0  0
18  0 931436 1297832 104632 3284040    0    0     0     0 21205 109939 14 11 75  0  0  0
28  0 931436 1262612 104640 3284128    0    0     0    28 21298 108565 15 10 75  0  0  0
 3  0 931436 1272288 104640 3283964    0    0     0     4 22824 111028 15 10 75  0  0  0
11  0 931436 1270804 104656 3283940    0    0     0    96 21882 111764 16 10 74  0  0  0
