Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

10:49:12 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:13 PM IST  all    8.43    0.00    6.66    0.08    0.00    0.93    0.00    0.00    0.00   83.90
10:49:14 PM IST  all   14.14    0.00    9.31    0.00    0.00    1.52    0.00    0.00    0.00   75.02
10:49:15 PM IST  all   15.25    0.00    8.22    0.00    0.00    1.53    0.00    0.00    0.00   75.00
10:49:16 PM IST  all   15.96    0.00    8.61    0.17    0.00    1.94    0.00    0.00    0.00   73.31
10:49:17 PM IST  all   14.82    0.00    7.75    0.00    0.00    1.96    0.00    0.00    0.00   75.47
10:49:18 PM IST  all   15.37    0.00    7.64    0.00    0.00    1.87    0.00    0.00    0.00   75.13
10:49:19 PM IST  all   14.99    0.00    8.43    0.00    0.00    1.87    0.00    0.00    0.00   74.70
10:49:20 PM IST  all   14.85    0.00    9.23    0.34    0.00    2.60    0.00    0.00    0.00   72.99
10:49:21 PM IST  all   15.32    0.00    8.16    0.08    0.00    1.77    0.00    0.00    0.00   74.66
10:49:22 PM IST  all   14.41    0.00    8.70    0.00    0.00    1.88    0.00    0.00    0.00   75.02
10:49:23 PM IST  all   15.16    0.00    7.58    0.00    0.00    2.27    0.00    0.00    0.00   74.98
10:49:24 PM IST  all   14.77    0.00    8.20    0.00    0.00    1.88    0.00    0.00    0.00   75.15
10:49:25 PM IST  all   14.99    0.00    8.35    0.00    0.00    1.45    0.00    0.00    0.00   75.21
10:49:26 PM IST  all   32.91    0.00    8.27    0.00    0.00    1.77    0.00    0.00    0.00   57.05
10:49:27 PM IST  all   15.29    0.00    8.70    0.00    0.00    1.52    0.00    0.00    0.00   74.49
10:49:28 PM IST  all   15.64    0.00    8.07    0.00    0.00    1.93    0.00    0.00    0.00   74.35
10:49:29 PM IST  all   15.98    0.00    7.52    0.00    0.00    1.61    0.00    0.00    0.00   74.89
10:49:30 PM IST  all   14.81    0.00    8.80    0.00    0.00    1.52    0.00    0.00    0.00   74.87
10:49:31 PM IST  all   15.33    0.00    8.09    0.00    0.00    1.53    0.00    0.00    0.00   75.04
10:49:32 PM IST  all   15.64    0.00    8.33    0.00    0.00    1.93    0.00    0.00    0.00   74.10
10:49:33 PM IST  all   15.17    0.00    8.31    0.08    0.00    1.61    0.00    0.00    0.00   74.83
10:49:34 PM IST  all   14.39    0.00    8.89    0.00    0.00    1.69    0.00    0.00    0.00   75.02
10:49:35 PM IST  all   15.42    0.00    8.72    0.00    0.00    2.01    0.00    0.00    0.00   73.85
10:49:36 PM IST  all   14.10    0.00    9.01    0.00    0.00    1.78    0.00    0.00    0.00   75.11
10:49:37 PM IST  all   15.34    0.00    8.31    0.00    0.00    1.78    0.00    0.00    0.00   74.58
10:49:38 PM IST  all   14.26    0.00    8.23    0.00    0.00    2.12    0.00    0.00    0.00   75.38
10:49:39 PM IST  all   15.91    0.00    8.33    0.00    0.00    1.60    0.00    0.00    0.00   74.16
10:49:40 PM IST  all   15.10    0.00    8.06    0.00    0.00    2.04    0.00    0.00    0.00   74.81
10:49:41 PM IST  all   13.98    0.00    8.53    0.00    0.00    2.13    0.00    0.00    0.00   75.36
